mainCategory,title,content,subCategory,date,source
Music,Winners of the 39th Golden Disc Awards in Fukuoka — in pictures,"Separately, the Best Digital Song award was given to 10 groups and solo artists — NewJeans, DAY6, BIBI, IVE, IU, ILLIT, aespa, Taeyeon, TWS and (G)I-DLE.",K-Pop,2025-01-05,Korea JoongAng Daily
Music,IU concert film 'IU Concert: The Winning' to premiere in January,"Film “IU Concert: The Winning” will showcase the singer’s Seoul encore concerts, “Hereh Encore : The Winning,” of her first-ever world tour held at the World Cup Stadium in western Seoul on Sept. 21 and 22.",K-Pop Ballad,2024-12-27,Korea JoongAng Daily
Promotion,"IU donates 500 million won to eight charities, hospitals","Singer and actor IU donated 500 million won ($343,104) to eight different charities and hospitals, continuing her tradition of generous giving.","""Public Image""",2024-12-25,Korea JoongAng Daily
Controversy,Lee Seung-hwan concert canceled due to 'safety concerns' over singer's pro-impeachment stance,Related Article Lee Seung-hwan defends concert amid conservative pressure Singer Lee Seung-hwan to go ahead with scheduled shows as martial law lifted Yoon supporters boycott brands advertised by IU over pro-impeachment stance IU and Yuri provide free,Politics vs. Art,2024-12-23,Korea JoongAng Daily
Social,A 'bite' of a surprise as IU reveals she has Skeeter syndrome,"IU recently revealed on a YouTube show that she suffers from Skeeter syndrome.   “I get sick when I get bitten by a mosquito,” said IU, who also goes by her legal name Lee Ji-eun as an actor, on the YouTube channel ""You in Radio"" run by actor Yoo In-na. The video, in which she appeared as a guest, was uploaded on Thursday. “It causes blisters and hurts so bad that I have to take painkillers. It’s like a mosquito allergy.”   Related Article crowned as Korea's No. 1 artist by Billboard Yoon supporters boycott brands advertised by over pro-impeachment stance and Byeon Woo-seok to lead new MBC romance series Skeeter syndrome is an allergic reaction to the saliva of a mosquito, causing large areas of swelling and warmth. There is no particular treatment for the condition currently.   “Mosquitoes always bite near my face, leaving scars. The areas where I was bitten as a child remain dead. I can poke those spots with needles, and they don’t hurt at all.”   The singer said the affliction is why she dislikes “mosquito more than cockroaches.”   Individuals who suffer from Skeeter syndrome must seek immediate medical attention if they experience difficulty breathing or dizziness. The syndrome could lead to anaphylactic shock, which could be fatal.   In the 54-minute video, the singer also revealed that she composed the song featured in Yoo's YouTube videos. On the channel, actor Yoo invites guests to join her for conversations that resemble a radio show format.   Debuting in 2008, has become one of Korea's most renowned solo artists, with hit songs like ""Good Day"" (2010), ""YOU&I"" (2011), ""The Red Shoes"" (2013), ""Through the Night"" (2017) and ""Lilac"" (2021). She was recently named Korea’s No. 1 artist in Billboard’s “Global No. 1s” series.   The Netflix series “When Life Gives You Tangerines,” starring alongside Park Bo-gum, is set to be released next year. is also set to take on a lead role in MBC’s upcoming drama, tentatively titled “Wife of a 21st Century Prince.”   To find out more about , visit Celeb Confirmed!               BY JUNG SI-NAE, WOO JI-WON [woo.jiwon@joongang.co.kr]Korea Yoo In Radio",Mosquito allergy.,2024-12-20,Korea JoongAng Daily
Promotion,Taking to the streets: The evolution of Korea's rally culture,"However, singer IU and members of Girls’ Generation prepaid for large amounts of food and beverages at nearby establishments for protesters to receive.   “Is everyone doing well in this cold weather?",Charity Act,2024-12-20,Korea JoongAng Daily
Controversy,IU’s plagiarism accuser ordered to pay 30 million won in compensation,"The person who falsely accused IU of plagiarism has been ordered to pay the singer 30 million won ($21,000) in compensation, a local court ruled Wednesday.",Plagiarism accusation.,2024-12-19,Korea JoongAng Daily
Controversy,"NewJeans, Yoo Jae-suk named public's favorite advertisement models of 2024",Consumers in their 40s said they liked actor Gong Yoo and singer-songwriter IU while those in their 60s enjoyed seeing football star Son Heung-min in their ads.,Ad Age Discrimination.,2024-12-18,Korea JoongAng Daily
Controversy,Yoon supporters boycott brands advertised by IU over pro-impeachment stance,Advocates of Korea's far right are boycotting singer IU for expressing support for President Yoon Suk Yeol's impeachment.,Protest Boycott,2024-12-18,Korea JoongAng Daily
Music,IU crowned as Korea's No. 1 artist by Billboard,"IU was chosen as Korea’s No. 1 artist in Billboard’s “Global No. 1s” series, along with other artists like Dua Lipa and KUN.",K-Pop,2024-12-18,Korea JoongAng Daily
Controversy,IU and Yuri provide free food for fans attending impeachment rally,Singers IU and Yuri of girl group Girls' Generation prepared food and hand warmers for members of their fans participating in rallies calling for the impeachment of President Yoon Suk Yeol set to take place Saturday.,Impeachment Rally,2024-12-14,Korea JoongAng Daily
Controversy,K-pop agencies seek legal action against online haters,"K-pop agencies are seeking to punish those who post derogatory comments about their artists online, with cases involving IU and Taeyeon being the latest examples.",Online Harassment,2024-12-03,Korea JoongAng Daily
Promotion,IU and Byeon Woo-seok to lead new MBC romance series,"IU and Byeon Woo-seok will lead a new MBC romance series, Kakao Entertainment confirmed on Monday.",Interview Announcement,2024-12-02,Korea JoongAng Daily
Controversy,"IU's agency pursues legal action against 180 people for defamation, espionage rumors","Singer and songwriter IU’s agency EDAM Entertainment is currently pursuing legal action against 180 individuals for spreading malicious and false information regarding its artist, the agency said Monday.",Defamation Rumors,2024-11-11,Korea JoongAng Daily
Music,"Korea's live music ticket sales rise nearly 16% in Q3 with success of 'Chicago,' IU","Korea's live music ticket sales rose nearly 16 percent, or 51.4 billion won ($36.8 million), on year in the third quarter, with the musical ""Chicago"" in Seoul raking in the most buck, the Korea Arts Management Service announced on Thursday.",Musical Theater,2024-11-07,Korea JoongAng Daily
Music,Girl group Billlie returns with full lineup on fifth EP with lyrics by IU,"Back for the first time in a year and a half, girl group Billlie took the time to look back on the things that they lost and learn how to cherish each other.",Girl Group News,2024-10-16,Korea JoongAng Daily
Social,World Cup Stadium spent just 3 percent of revenue on grass after Jamboree 'damaged' field,Seoul World Cup Stadium generated 8.2 billion won in revenue but allocated only 3 percent for field maintenance in the first eight months of this year.,Grass Maintenance,2024-09-26,Korea JoongAng Daily
Social,Korea looks to relocate October World Cup qualifier against Iraq due to pitch issues,"The Korean football federation said Tuesday it will seek to move an October World Cup qualifying match from Seoul World Cup Stadium to a different venue, citing its poor pitch conditions.",None of the Above,2024-09-25,Korea JoongAng Daily
Music,"Drones, Tweety Bird and fireworks: IU celebrates 100th concert with a bang","IU held encore concerts for her “Hereh” world tour, titled “The Winning,” on Saturday and Sunday at Seoul World Cup Stadium in western Seoul, becoming the first K-pop solo female singer to fill the second-largest stadium in Korea.",K-Pop Ballad,2024-09-23,Korea JoongAng Daily
Social,IU hands out garbage bags to Sangam-dong residents ahead of World Cup Stadium concert,IU surprised the residents of western Seoul's Sangam-dong by handing out garbage bags with a note asking for residents' understanding ahead of her upcoming concert at the World Cup Stadium over the weekend.,Public Appearance.,2024-09-20,Korea JoongAng Daily
Promotion,IU donates 225 million won to charity on 16th anniversary of debut,Singer IU donated 225 million won to help children and older adults to celebrate the 16th anniversary of her professional singing career.,Donation News,2024-09-18,Korea JoongAng Daily
Social,IU meets 'Grandpa Uaena' YouTuber while on tour,"YouTuber Zev Rattet, the famed IU fan nicknamed “Grandpa Uaena,"" finally had his dream of meeting the Korean singer come true.",Fan Meeting,2024-08-01,Korea JoongAng Daily
Promotion,Singer-actor IU donates 100 million won for Children's Day,"EDAM Entertainment said Sunday that she made the donation to ChildFund Korea under the name IUaena, a portmanteau of her stage name IU and the singer's official fan club Uaena.",Donation Announcement,2024-05-05,Korea JoongAng Daily
Controversy,IU's agency apologizes to fan due to scalping prevention bungle,"Singer IU's agency apologized for accidentally banning a fan club member while trying to filter out illegal ticket sales to the ""H.E.R"" Seoul concerts held last month.",Scalping prevention bungle.,2024-04-09,Korea JoongAng Daily
Social,"Twice tops Favorite Weekly Chart, IU takes second",Twice topped Favorite's weekly K-pop fan poll. Chaeyoung won the April birthday poll.,K-pop News,2024-03-25,Korea JoongAng Daily
Music,Singer-songwriter IU ranks No. 1 on Favorite’s Weekly Chart,"Favorite is a K-pop fan poll co-developed by digital streaming service Bugs and the JoongAng Ilbo, an affiliate of the Korea JoongAng Daily. Weekly chart rankings are calculated through a combination of fan votes and the number of streams on Bugs.",K-pop pop ballad,2024-03-15,Korea JoongAng Daily
Music,"IU impresses 15,000 fans with massive, but intimate concert finale","IU wowed 15,000 fans with a 30-plus song performance at the KSPO Dome. The ""H.E.R"" world tour will continue to Japan, Taiwan and Singapore.",K-Pop Ballad,2024-03-11,Korea JoongAng Daily
Music,IU to hold encore concert at the World Cup Stadium in September,"The encore concert will be held on Sept. 21 and 22 at the Seoul World Cup Stadium — also known as the Sangam World Cup Stadium — in Mapo District, western Seoul.",K-Pop Ballad,2024-03-10,Korea JoongAng Daily
Promotion,IU's agency cuts out illegal concert ticket scalpers from fan club,"IU's agency, EDAM Entertainment, said that it canceled 44 tickets to the star's upcoming tour over illegal reselling.",News/Investigation I,2024-03-01,Korea JoongAng Daily
Music,'Not everyone can be a flower': IU reflects on adulthood in new EP,"IU reflects on life in her thirties with the release of her first EP in over two years, featuring tracks that she wrote herself. Her world tour will kick off soon after the release.",K-Pop Solo,2024-02-20,Korea JoongAng Daily
Music,'Decision to Leave' actor Tang Wei stars in IU's ''Shh..' music video,"The actor appeared in the teaser for “'Shh..,” a track on IU’s upcoming EP “The Winning” posted to IU’s YouTube channel at midnight on Monday.",Song/Video,2024-02-13,Korea JoongAng Daily
Music,IU announces Tweety collab and special edition of 'The Winning' EP,"The singer will release a special version of her upcoming “The Winning” EP with the bright-eyed Warner Bros. character, the singer-songwriter’s agency EDAM Entertainment said Wednesday.",K-Pop Ballad,2024-02-07,Korea JoongAng Daily
Music,IU to drop EP 'The Winning' on Feb. 20 after 'Love wins all' hits No. 1,"“The Winning” will be IU’s first EP in more than two years, following the release of her special EP “Pieces” in late 2021.",K-Pop Ballad,2024-01-30,Korea JoongAng Daily
Music,IU's 'Love wins all' reaches No. 1 on Melon Top 100 in release record,"“Love wins all” became the fastest song by a female artist to top the Melon chart since its system renewal in August 2021, IU's agency EDAM Entertainment said Thursday.",K-Pop,2024-01-25,Korea JoongAng Daily
Controversy,IU scraps 'Love wins' single title after online backlash,"IU's upcoming single, 'Love wins' is now called 'Love wins all' after controversy arose due to the former title's association with the LGBTQ community.",LGBTQ Backlash,2024-01-19,Korea JoongAng Daily
Music,IU to begin her 18-city world tour in Seoul in March,"Singer-songwriter IU will start her world tour on March 2 at the KSPO Dome in Songpa District, southern Seoul, her agency EDAM Entertainment said Wednesday.",K-Pop/Pop.,2024-01-17,Korea JoongAng Daily
