url,title,date,thumbnail,content,celebrity,relevance_score,relevance_reason,source,headline,subheading,category,subcategory,category_reason
https://www.koreaherald.com/article/10417615,"'IU is a commie.' List of politicians, celebrities spreads online with NewJeans, Han Kang",2025-02-11,https://wimg.heraldcorp.com/news/cms/2025/02/11/news-a.v1.20250211.0c621e88c43e4f32a2435672ef3ea853_T1.png?type=h&h=240,"A handwritten list by an anonymous individual accusing prominent political figures and artist groups of being ""China-friendly,"" ""pro-North Korea followers,"" ""communist party"" or ""commies"" is going viral online.
Rep. Jung Chung-rae, a four-term lawmaker of the main opposition liberal Democratic Party of Korea, shared a post on Facebook on Monday that his name had been included on the handwritten list totaling 107 names, without clarifying the origin of the list.
Jung, who had shared the post of former lawmaker Choe Kang-wook, said he was listed just after liberal former President Moon Jae-in and Democratic Party Chair Rep. Lee Jae-myung, sarcastically saying he was ""honored.""
Also on the list were K-pop celebrities, such as singer-songwriter IU, as well as K-pop groups NewJeans, now NJZ, and NMIXX.
IU and NJZ made headlines when they prepaid for food for fans who attended protests in December calling for President Yoon Suk Yeol's impeachment over the Dec. 3 martial law crisis. Kyujin of NMIXX also told her fans to keep warm at protests supporting Yoon's impeachment through a messaging service with fans.
Globally acclaimed cultural figures, such as Nobel Prize for Literature winner Han Kang, Oscar-winning director Bong Joon-ho of ""Parasite,"" ""Squid Game"" director Hwang Dong-hyuk and comedian and TV show host Yoo Jae-suk were also on the list.
Among them, Bong led the film industry's statement calling for Yoon's impeachment in December, while Hwang said just before the release of ""Squid Game"" season 2 that ""someone must bear the responsibility by being impeached or by resigning"" for intigating the martial law crisis.",iu,3.0,"While the article mentions IU specifically and is about the correct person (female Korean artist), it's not focused on her work as a Singer, Songwriter, or Actress. Instead, it discusses her inclusion in a controversial political list and mentions her involvement in supporting protestors. The article is more about political controversy than her artistic work. The relevance is moderate because while it's definitely about IU, it's focused on political associations rather than her primary professional roles.",,IU Among K-Pop Stars Blacklisted in Viral Political Witch Hunt,"Singer-songwriter IU and other prominent Korean artists face baseless accusations of being ""China-friendly"" and ""communist"" in anonymous handwritten list",Controversy,Political Controversy,The article discusses IU being included in a politically-motivated blacklist where she and other Korean artists are being falsely accused of having pro-China and communist affiliations. This represents a politically-charged controversy rather than actual political stance or activities.
https://www.koreaherald.com/article/10405827,"Romance series starring IU, Park Bo-gum to launch March 7",2025-01-23,https://wimg.heraldcorp.com/news/cms/2025/01/23/news-p.v1.20250123.2b2d9d85f51545b7af69c8227d1bcefd_T1.jpg?type=h&h=240,"Legendary K-drama creators come together for 'When Life Gives You Tangerines'
Netflix's highly anticipated romance series ""When Life Gives You Tangerines,"" starring Hallyu sensations Lee Ji-eun (also known by her stage name IU) and Park Bo-gum, will be released March 7, the global streaming service announced Thursday. It also unveiled the series' official poster and trailer.
The series tells the story of Gwan-sik (Park) and Ae-soon (Lee) as they navigate growth and love against the picturesque backdrop of Jeju Island's seaside.
The series is penned by Lim Sang-chun, the writer behind the hit drama ""When the Camellia Blooms,"" and directed by renowned drama director Kim Won-suk, known for his K-dramas ""Misaeng"" and ""My Mister.""
The trailer, released on Netflix Korea’s official YouTube channel on Thursday, features lively, upbeat music and highlights Jeju Island’s stunning scenery. The trailer captures the warmth of Ae-soon and Gwan-sik’s tender moments alongside scenes of their more turbulent youth, portraying a relatable and heartwarming tale of young love to come.",iu,4.0,"The article is highly relevant to IU (Lee Ji-eun) in her capacity as an actress, which is one of her listed roles. It specifically mentions her by both her stage name (IU) and real name (Lee Ji-eun), and discusses her leading role in an upcoming Netflix series. While the article doesn't address her work as a singer or songwriter, it's directly related to her career as an actress, which is one of her primary professional roles. The context is appropriate for a multi-talented Korean entertainment figure who works in both music and acting.",,IU Returns to Netflix in Star-Studded Island Romance,"Multi-talented singer-actress IU joins forces with Park Bo-gum in ""When Life Gives You Tangerines,"" a new series from the creators of ""My Mister"" and ""When the Camellia Blooms""",Acting,OTT,"The article discusses IU's upcoming Netflix series ""When Life Gives You Tangerines,"" which is a streaming platform (OTT) project where she stars alongside Park Bo-gum. The focus is on her acting role rather than her music or other activities."
https://www.koreaherald.com/article/10021630,"Yoo Jae-suk, IU top Gen Z picks for ideal leaders",2024-12-23,https://wimg.heraldcorp.com/news/cms/2024/12/23/news-p.v1.20241223.426aa5db8671431aa9d58365c79849a4_T1.jpg?type=h&h=240,"An online poll asked young Korean job seekers to select one person of each gender whom they believe embodies the qualities of an ideal leader. The top choices were TV personality Yoo Jae-suk and K-pop singer IU.
Among the male celebrities considered, Yoo Jae-suk received 23 percent support from the surveyed 2,507 job seekers belonging to Generation Z, defined for this purpose as those born between 1997 and 2006. In the female leader category, IU emerged as the top choice, garnering 21 percent, according to the survey conducted by online recruiting firm Catch.
For Both Yoo and IU, their thoughtfulness and kindness were cited as key reasons for their selection.
Male entertainer Dex received 18 percent of the vote, with respondents giving his empathy and kindness as significant attributes. Female dancer Gabee earned 19 percent of the vote to rank as the second most popular leader after IU.
In response to the poll results, Kim Jeong-hyun, a director at Catch, said, ""Gen Z views communication and kindness as critical traits in a leader. This is why public figures like Yoo Jae-suk and IU, who inspire trust and respect, resonate strongly with them.”",iu,3.0,"While the article specifically mentions IU and confirms her identity as a K-pop singer (matching the correct person and gender), it's not primarily focused on her musical or acting career. Instead, it discusses her popularity as an ideal leader figure among Gen Z job seekers, highlighting her personal qualities like thoughtfulness and kindness. The article is somewhat relevant to IU but doesn't directly relate to her core work as a Singer, Songwriter, or Actress.",,IU Crowned as Gen Z's Ideal Female Leader in Korea,"Multi-talented singer-actress IU's reputation for kindness and thoughtful communication resonates with young job seekers, new poll reveals",Social,Social Recognition,"The article focuses on IU being recognized as a role model and ideal leader figure by Generation Z in Korea through a poll, which is a form of social acknowledgment of her influence and reputation rather than her artistic activities or promotional work."
https://www.koreaherald.com/article/10020363,"Ripple effects of Yoon Suk Yeol’s impeachment: Celebrities, businesses caught in crossfire",2024-12-20,https://wimg.heraldcorp.com/news/cms/2024/12/20/news-p.v1.20241220.7c77693f59dc402d8f7f89f0ce370f6d_T1.jpg?type=h&h=240,"The political upheaval surrounding the impeachment of President Yoon Suk Yeol has extended beyond the National Assembly, targeting celebrities and businesses.
Social media campaigns and boycotts have intensified, channeling public outrage in one of the world‘s most connected nations.
Singer IU, a K-pop singer and actor, has become a target of criticism from opponents of Yoon’s impeachment.
Her voluntary gesture of prepaying for food and hand warmers to support participants at a rally advocating for Yoon‘s impeachment has drawn significant criticism. Reports suggest that IU, along with other public figures, has been added to a “blacklist” allegedly compiled by Yoon’s supporters.
The “Yoon Suk Yeol Impeachment Support List” began circulating online last week, including IU and other celebrities, such as girl group NewJeans, filmmaker Bong Joon-ho, comedian Park Myung-soo and actor Go Ah-sung.
At the bottom of the image, it encourages reporting these individuals to the US Central Intelligence Agency, based on the spurious claim that being reported would prevent them from entering the United States.
One online user even posted a screenshot claiming to have reported IU to the CIA, urging others to participate in a “verification relay” by submitting similar reports.
The post, originally shared on the “People Power Party Gallery” of online forum DCInside, has since been deleted. Critics have dismissed the campaign as an embarrassing and absurd overreaction, with one commenter stating, “I don’t understand why people are resorting to such actions.”
Additionally, calls for boycotts against companies associated with IU have intensified. Lists of brands she has endorsement deals with, including Woori Bank and Hite Jinro, are being shared online with suggestions to stop buying products or services from the businesses.
On the other side, those supporting Yoon’s impeachment have launched a boycott against Purmil, a dairy company owned by the family of Rep. Yoon Sang-hyun’s wife.
Yoon Sang-hyun, a vocal opponent of the impeachment motion, has faced significant backlash. Critics accuse him and his family’s company of being complicit in insurrection, aligning their boycott with their broader political grievances.
Rep. Yoon, married to Shin Kyung-ah, a member of the family behind Purmil, has consistently opposed Yoon‘s impeachment.
On the day of the vote, he reaffirmed his stance, stating, “We cannot hand over power to the reckless Democratic Party led by Lee Jae-myung.”
His comments further fueled the campaign against Purmil.
Observers note that South Korea’s tendency to channel public sentiment into collective action has been magnified by social media. What begins as localized outrage can quickly escalate into nationwide campaigns, often fueled by misinformation, as seen with the CIA reporting claims, they said.
“Social media accelerates these dynamics,” said Choi Jong-ryul, a sociology professor at Keimyung University. “Outrage is no longer confined to political spheres -- it extends into cultural and economic realms, creating ripples that impact individuals and businesses alike.”
As South Korea grapples with the ramifications of Yoon Suk Yeol’s impeachment, the controversy’s reach to celebrities and businesses underscores the pervasive nature of political division, he added.",iu,3.0,"The article mentions IU specifically and correctly identifies her as a K-pop singer and actor, matching her occupation. However, the article's main focus is not on her artistic work but rather on political controversy surrounding her support for a political rally. While it does involve her as a public figure and mentions her endorsement deals, the content is more about political fallout and boycotts rather than her core activities as a Singer, Songwriter, and Actress. The relevance is moderate because while it's about the correct person, it's primarily focused on political implications rather than her artistic career.",,IU Faces Backlash and Blacklisting Over Political Support,K-pop superstar IU becomes target of online campaigns and boycotts after supporting presidential impeachment rally,Controversy,Political Controversy,"The article discusses backlash and blacklisting faced by IU due to her political stance and support of a presidential impeachment rally, making it primarily a controversy stemming from political involvement rather than her artistic activities."
https://www.koreaherald.com/article/10019148,'Report IU to the CIA': Bizarre online trolling of celebs who support Yoon impeachment,2024-12-17,https://wimg.heraldcorp.com/content/default/2024/12/17/20241217050080_0.jpg?type=h&h=240,"Users of local websites with politically conservative inclinations are encouraging each other to file online reports to the US Central Intelligence Agency against K-pop star IU and other celebrities who publicly supported protests calling for President Yoon Suk Yeol's impeachment.
The anonymous users have posted screenshots of their reports to the US federal agency that collects and analyzes foreign intelligence.
""IU can't go to America now,"" read the title of an anonymous post on DC Inside, with the writer accusing the main opposition Democratic Party of Korea of being ""secretly backed by China"" and claimed IU was ""actively supporting communist forces.""
The users on the controversial website encouraged others to follow suit, sharing a list of celebrities that publicly supported Yoon's impeachment. Some of them said that reporting the celebrities as spies would trigger investigations, making it difficult for them to visit or work in the US.
They have also called for a boycott of products sold by companies endorsed by IU and other celebrities, sharing a list of the brands.
IU, one of Korea's most influential pop stars, recently provided prepaid meals and snacks to people taking part in the protests against the president.
President Yoon currently faces an impeachment trial and criminal investigation on charges of insurrection for his declaration of martial law on Dec. 3, which marked the first time in over 40 years that martial law has been declared in the country. It was revealed by military commanders and government officials that Yoon ordered the arrests of prominent political figures and his outspoken critics.
He also sent troops to the National Assembly and the National Election Commission, with the latter possibly linked to his claim that the past two parliamentary elections -- which Yoon's party lost -- were ""rigged.""",iu,3.0,"While the article definitely refers to the correct IU (Korean pop star) and mentions her status as ""one of Korea's most influential pop stars,"" the content is primarily focused on political controversy rather than her artistic work as a Singer, Songwriter, or Actress. The article discusses her involvement in political protests through providing meals and the subsequent online backlash, rather than her professional activities in entertainment. The identification is accurate, but the context is more political than artistic/professional.",,IU Faces CIA Reports Over Political Support as Conservative Backlash Grows,K-pop superstar IU becomes target of online campaign after supporting presidential impeachment protests in South Korea,Controversy,Political Controversy,"The article focuses on IU facing backlash and CIA reports due to her political stance regarding presidential impeachment protests in South Korea, making it primarily a political controversy rather than just a political stance, as it has generated significant conservative opposition and public debate."
https://www.koreaherald.com/article/10017103,K-pop star IU supplies hot food for fans attending anti-Yoon rallies,2024-12-14,https://wimg.heraldcorp.com/content/default/2024/12/14/20241214050004_0.jpg?type=h&h=240,"K-pop superstar IU has arranged for hot food and drinks, as well as hot packs, to be provided to people attending a rally calling for the impeachment of President Yoon Suk Yeol, her agency said Friday.
Edam Entertainment, in an official fan cafe post, said the singer wanted to provide warmth to ""Uena,"" or IU fans, who would be attending the protests in the cold weather.
""We hope that the hands of Uaena, who brighten the surroundings, will be a little warmer,” the post reads.
The food provided by IU includes 100 portions of bread, 100 drinks, 100 bowls of soup, 100 bowls of beef bone soup, and 100 portions of rice cakes.
The agency also mentioned that anyone, even if they are not officially registered members of the fan club, could receive the food and hot packs on a first-come, first-served basis at the rallies.
Young protesters are taking to the streets with light sticks, singing K-pop songs to express their anger at President Yoon, who imposed martial law last week in a high-stakes gambit to reverse his struggling political fortunes.
South Korea’s parliament is set to vote on his impeachment at 4 p.m. Saturday.
IU, whose real name is Lee Ji-eun, is also an actress known for her roles in various TV and film productions, including “My Mister.”",iu,3.0,"While the article is definitely about IU (Lee Ji-eun) and correctly identifies her as a K-pop star and actress, the main focus is on her charitable/political action rather than her artistic work. The article only briefly mentions her acting career in ""My Mister"" as a side note. The content is about her providing food and supplies to protesters, which is tangential to her primary roles as a Singer, Songwriter, and Actress. However, it does demonstrate her public influence as a celebrity and her engagement with her fan base (Uaena).",,IU Shows Solidarity: K-Pop Queen Feeds Protesters in Seoul Streets,"Singer-actress IU provides hundreds of meals and warm supplies to supporters at presidential impeachment rally, showcasing her influence beyond entertainment",Social,Political stance,"The article describes IU's active involvement in a political situation by providing meals and supplies to protesters at a presidential impeachment rally, demonstrating her taking a public political position through direct action and support of protesters."
https://www.koreaherald.com/article/10012108,Byeon Woo-seok of 'Lovely Runner' to join IU in romance series,2024-12-02,https://wimg.heraldcorp.com/content/default/2024/12/02/20241202050014_0.jpg?type=h&h=240,"Global Hallyu sensation Byeon Woo-seok is set to star alongside Lee Ji-eun, better known as singer-songwriter IU, in an upcoming romance series, Kakao Entertainment announced Monday. The series, tentatively titled ""21st Century Grand Prince's Wife,"" is a romance drama set in an alternate version of Korea ruled by a constitutional monarchy. Lee Ji-eun will portray Seong Hee-joo, the second-oldest daughter of the nation's leading conglomerate family, who comes from commoner roots. Byeon will play Prince I-an, the king's second son, burdened by a life of obscurity despite his royal lineage. The story will follow their fateful encounter and the transformative journey that ensues. The series, set for release in the second half of 2025, will be a co-production between MBC and Kakao Entertainment. The series marks Byeon’s first confirmed project following his breakout success in tvN's ""Lovely Runner"" (2024), where he starred as main lead Ryu Seon-jae. The drama gained international acclaim, topping the charts in 130 countries on Rakuten Viki and making history in Korean streaming by driving Tving, its exclusive domestic platform, to surpass Netflix in daily viewing hours for the first time on the day of its finale. ""Lovely Runner"" catapulted the model-turned-actor to a rock-star status, and anticipation for his next project had been building since the drama aired its final episode in May. The series also marks Lee's return to TV since the success of tvN's ""Hotel Del Luna"" (2019). The hit drama became tvN's most-watched series of the year in 2019, peaking at a 12 percent viewership rating. Lee is also gearing up for her role in the Netflix series ""When Life Gives You Tangerines,"" in which she stars alongside actor Park Bo-gum. The series is slated to premiere in the first half of 2025.",iu,4.0,"The article is highly relevant to IU (Lee Ji-eun) as it announces her upcoming acting project, directly aligning with her role as an actress. While it doesn't focus on her music career (singer-songwriter aspects), it correctly identifies her and references her previous acting work in ""Hotel Del Luna"" and mentions her upcoming Netflix series. The article is definitely about the correct person, using both her stage name (IU) and legal name (Lee Ji-eun), and discusses her activities in one of her primary professional roles as an actress. The only reason it's not a perfect 5 is that it doesn't touch on her musical career, which is also a significant part of her identity as an artist.",,IU to Play Chaebol Heiress in Royal Romance Drama,"Multi-talented star IU returns to television after five-year hiatus, joining forces with 'Lovely Runner' sensation Byeon Woo-seok in alternate monarchy series",Acting,Drama/Series,"The article announces IU's return to television acting after a five-year break, specifically for a new drama series where she will play a chaebol heiress in a royal romance storyline alongside actor Byeon Woo-seok."
https://www.koreaherald.com/article/3479672,[Herald Review] IU wraps up 1st world tour 'HEREH' at Seoul World Cup Stadium,2024-09-23,https://wimg.heraldcorp.com/content/default/2024/09/23/20240923050500_0.jpg?type=h&h=240,"K-pop sensation IU wrapped up her first world tour, ‘HEREH,’ with an unforgettable finale Sunday at the Seoul World Cup Stadium. She made a striking entrance on a swing-like lift, dressed in a sparkling coral mini dress and a white headset, kicking off the show with “Holssi,” the first track from a captivating setlist that spanned over two hours. IU took an audience of 50,000 on a mesmerizing journey, performing “Ah Puh” amidst a stunning display of whale and jellyfish-shaped lanterns carried by dancers. While the open-air venue posed some challenges with sound delays that slightly detracted from the immersive experience, IU skillfully countered this with a variety of creative props and stage effects. The second section of the show began with a little girl awakening onstage, setting the scene for a magical moment when a star, carried by a drone, guided her to IU, who reappeared on the swing lift adorned with colorful flowers to sing “Celebrity.” She then flew over the venue to the stage front, where her fans, donning blue flower headpieces, surprised her during “Blueming.” “It’s wonderful to see you up close. Your affectionate gazes fill my heart with love. Thank you for this surprise event. I included this song just for this encore show,” IU said. She expressed her desire to perform “I Stan U” surrounded by her audience, adding, “Thank you for starting your autumn with my concert. Just as you cheer for me, I hope to be that kind of audience for you as well.” During the concert, IU also debuted a new song, “Bye Summer,” showcasing her skills on a crystal blue electric guitar. “This tour felt like summer lasted forever. However, I want to say it’s been the best summer because I shared it with all of you. This song feels fitting for a day that marks the end of summer,” she explained. The concert peaked with 1,000 drones illuminating the night sky during “Last Fantasy.” Dressed like a fairy tale princess wearing a flowing white gown and a crown, IU created a magical atmosphere enhanced by fireworks. A giant Tweety balloon, reminiscent of her “Shopper” music video, floated above as she performed the lead track from her latest EP ""The Winning."" As the concert drew to a close, IU reflected on the emotional weight of the moment. “This is the last moment of my world tour, and it makes me feel so sentimental. I hope you achieve victories, big and small, until we meet again,” she said, transitioning to “Love Wins All,” the final song on her setlist. Accompanied by an orchestra and a choir, her soulful performance left the audience mesmerized, inspiring clapping atypical of K-pop concerts. Sunday's show was also her 100th concert. “It feels surreal that today’s final show of my first world tour is also my 100th concert. I was surprised a fan was counting all my concerts — something even my parents don’t do. This world tour was possible because of your love and support. I promise to return with more great music,” she concluded.",iu,5.0,"The article is highly relevant to IU as it directly covers her first world tour concert 'HEREH' and its finale. It specifically discusses her performance, song selections (including a new song debut), stage presence, and interaction with fans. The content aligns perfectly with her role as a singer-songwriter, showing her performing various songs from her discography and even playing instruments. The article mentions her 100th concert milestone and describes her artistic presentation, which is completely consistent with her status as a major K-pop artist and performer. Every aspect of the article directly relates to IU's core identity as a female singer-songwriter and performer.",,"IU's Magical World Tour Finale Dazzles 50,000 Under Starlit Seoul Sky","K-pop superstar IU marks her 100th concert milestone with an enchanting two-hour spectacle featuring drones, orchestras, and surprise fan tributes",Music,Tour/concert,"The article focuses on IU's concert performance, specifically covering her tour finale in Seoul where she performed for 50,000 fans and celebrated her 100th concert milestone. The content primarily discusses the performance aspects including production elements like drones and orchestras."
https://www.koreaherald.com/article/3474909,'Keep IU off the grass': Soccer fans oppose K-pop concerts at World Cup Stadium,2024-09-17,https://wimg.heraldcorp.com/content/default/2024/09/12/20240912050871_0.jpg?type=h&h=240,"National soccer team captain Son Heung-min's comment over grass conditions leads to complaints about K-pop concerts at stadium From Madison Square Garden in New York to Wembley Stadium in London, the biggest sports arenas and stadiums in major cities often double as concert venues. But holding concerts at Seoul World Cup Stadium is being challenged by some soccer fans complaining that nonsports events there have crucial detrimental effects on the field. A self-proclaimed fan of Son Heung-min on Sept. 11 posted a petition on the state-run e-People website, calling for the cancellation of the K-pop superstar IU's concert slated for Sept. 21-22 in Seoul World Cup Stadium in Sangam-dong, Seoul. The petitioner claimed that the large crowd expected for the concert -- which sold out 100,000 tickets within minutes -- will damage the grass of the stadium that will be used for the qualifying matches of the upcoming 2026 World Cup. After playing Palestine on its home field on Sept. 5, South Korea will host the rest of its Group B opponents in the qualifiers slated until next year. But there have been multiple complaints from players, fans and even opposing teams about the poor conditions of the grass. ""A third-round qualifying match between South Korea and Iraq is slated in Sangam on Oct. 15, and (the authorities) should try their best to manage the grass there for remainder of (the World Cup qualifiers) period,"" the petitioner wrote. The person cited Seoul Metropolitan Government's Ordinance on the Installation and Operation of Seoul Sports Facilities, which in Article 5-3 states that the mayor may bar or even cancel use of a sports facility if they deem an event as possibly causing a hindrance to the management of the facility in question. Grass greener on other side The controversy started when national team captain Son-- who led his team's 3-1 road win over Oman with a go-ahead goal in the second half -- complained about the grass in the Seoul World Cup Stadium. He said the Sultan Qaboos Sports Complex's field being in good condition allowed him to play with more confidence, adding that he wishes such good management could be applied to Korea's home fields as well. After his team ended in a goalless draw against Palestine in Seoul, he claimed the grass had made things difficult for him to control the ball. The allegedly questionable grass conditions at the Seoul World Cup Stadium have long been an issue here. Former national team player Ki Sung-yueng in 2017 jokingly said that he was not worried about a road match in China, because the grass there ""could not possibly be worse than in Seoul."" In light of the concerns over grass, Seoul Facilities Corporation in October 2021 installed new turf comprised of 95 percent natural and 5 percent synthetic grass. Fewer events were held at the stadium since then compared to before, with the venue being concert-free for a full year since the new field was installed. But between the ongoing remodeling of the Seoul Olympic Main Stadium in Jamsil, southern Seoul and the Gocheok Sky Dome being occupied for the professional baseball league season, the World Cup Stadium has become virtually the only venue in Seoul to hold mega-sized concerts. The concerts of band Seventeen and singer Lim Young-woong were held in the stadium, each in April and May of this year, prior to the upcoming IU concert. Operators of the Seoul World Cup Stadium told the local media that warnings about the grass are notified to whoever rents the stadium, and those who rent it are mandated to restore any damages to the field. Grass access is also limited to the minimum number of personnel required to install the stage and conduct the events, they added. The performers themselves also make efforts to minimize damage to the grass, such as Lim not installing seats on the field. IU's agency also vowed to follow the policies by protecting the grass, disassembling the stage as soon as the concert ends, while keeping the grass hydrated and well-ventilated during the event. With concerns over the grass conditions in Sangam, the Korea Football Association is mulling whether to select a different venue for upcoming home matches. The officials, however, said player convenience should be considered in any potential change of venue, and vowed to come up with a solution as soon as possible before the next match in October. South Korea is currently playing to earn one of two direct World Cup berths allocated for the Group B teams in the third round of the Asian Qualifiers. The team will face off against Iraq on Oct. 15 at home on the as yet undecided field. If the country fails to finish in the top two of its group, it will compete in the fourth round for a spot in the inter-confederation playoffs.",iu,3.0,"The article mentions IU specifically regarding her upcoming concert at Seoul World Cup Stadium, but the main focus is on a controversy about stadium grass conditions and soccer matches rather than her artistic work. While it's relevant to her as a performing artist (showing her popularity with 100,000 tickets sold), the article primarily uses her concert as an example in a broader debate about stadium usage. Her agency's response to protect the grass is mentioned, but there's no discussion of her music, songwriting, or acting career.",,IU's Stadium Concert Sparks Soccer vs. K-pop Showdown,"Superstar IU's 100,000-ticket sellout show at Seoul World Cup Stadium ignites debate over field conditions ahead of crucial soccer matches",Music,Tour/concert,"The article focuses on IU's upcoming stadium concert at Seoul World Cup Stadium, specifically discussing the large-scale venue booking (100,000 tickets) and the resulting scheduling conflict with soccer matches. The core topic is about a music performance event rather than the controversy itself."
https://www.koreaherald.com/article/3436258,Price of stardom?,2024-07-17,https://wimg.heraldcorp.com/content/default/2024/07/17/20240717050640_0.jpg?type=h&h=240,"K-pop stars feel threatened by obsessive ‘sasaeng’ fans Behind K-pop's rapid growth and immense popularity, there is a persistent, chronic problem that follows fame: Stalkers, often called ""sasaeng"" in Korea. ""I am not sasaeng. I am just a genuine fan who really loves NCT,"" said an 18-year-old girl who wished to remain anonymous. She claims that all her actions are out of sincere support and love -- taking taxis to follow her favorite singer as he goes about his day and waiting for hours at the airport to take photos of the group, to name but a few. She admits that she even knows where the celebrities live. ""Sometimes I spend about 300,000 won ($217) on taxis to follow NCT's schedule. They even talk to me in person sometimes!"" That ""talk"" involved members telling her to go home now. Call for end to harassment Despite the growing awareness of the need to respect artists' privacy, the excessive actions of some individuals continue to torment celebrities who call for relief from constant harassment by ""sasaeng."" “Sasaeng” is a term used to describe fans who invade artists’ privacy, often exhibiting aggressive and obsessive behaviors. After months of harassment by sasaeng, Renjun of NCT said on the fan communication platform on April 11, ""Sasaengs are nothing but scary stalkers to me. They follow me, sit next to me on planes, and take photos of me while I sleep. It's a huge burden for me,"" Later that month, Renjun announced he would take a break from work citing health reasons. He continued to be hounded by phone calls from sasaeng and, in June, he took action by posting what he thought was a phone number of sasaeng on a fan communication platform. It turned out that the number belonged to a non-fan. When the incident caused an uproar, Renjun posted an apology on social media. Haechan, another member of NCT, has also suffered from sasaeng harassment. In November last year, a sasaeng walked into Haechan’s home, where he lives with his family. The methods used by sasaeng to reach celebrities have become increasingly cunning. Some make calls by manipulating phone numbers and pretending to be fellow K-pop group members. Techniques commonly used in voice phishing scams are now being employed by sasaeng. Some even call during live broadcasts to verify if the number they have is the celebrity's. Some sasaeng use K-pop stars' frequent international travels as additional opportunities to follow them. “On a return flight to Seoul after a fan signing event, we found that someone had already pre-booked and changed the in-flight meals for the members' seats,” said TXT’s Taehyun through the fan communication platform Weverse on June 29, adding suspicion that it might have been the act of sasaeng. Asked about the allegations that sasaeng fans had changed in-flight meal orders, a Korean Air official said, “To change in-flight meal reservation information, one would need the ticket reservation number and the phone number associated with the reservation record. Whether it was a sasaeng's work needs to be confirmed."" The official, however, did confirm that actions by sasaeng fans have caused inconvenience on multiple occasions. “Sasaeng fans have repeatedly bought tickets just to follow stars into the area past the immigration only to cancel the tickets right before the flight, demanding refunds. We have had to implement cancellation fees. These fees are not solely due to sasaeng issues, but they have certainly been a factor,” the official said. An Asiana Airlines official also said the company instituted penalty rules for ticket cancellations made just before boarding due to troubles with sasaeng. Some stars have resorted to drastic measures to avoid sasaeng harassment when traveling. During a Naver V Live broadcast in 2019, BTS’s V also revealed that BTS uses private flights due to sasaeng issues. ""We would like to fly on regular flights, but some people figure out our flight schedule and sit next to us. It's very uncomfortable because we can't relax in our private space. It scares me a lot and I wish it would stop,"" he said. The problem of saesaeng harassment persists despite entertainment agencies' efforts -- ranging from warnings to legal actions -- to protect their artists. Edam Entertainment, singer IU's agency, claiming severe privacy violations at airport security zones, duty-free shops, aboard flights and at hotels, issued a press statement on June 18, which said, ""Please refrain from attempting conversations, taking photos, giving gifts, or filming the artist onboard."" K-pop powerhouse, SM Entertainment, announced on March 6 that it would take legal action on sasaeng harassment of NCT members. But warning appears to have had little impact given the continued harassment experienced by Renjun. Hybe, which established a task force in 2023 to tackle the illegal trading of stars' flight information, recently reported that they had identified social media accounts trading artists' flight information. They have secured evidence to identify these individuals and submitted it to the police. The police, for their part, are reported to have conducted long-term investigations both domestically and internationally and some cases have been sent to the Seoul Central District Prosecutors' Office. The illegally traded information was used to obtain seat information to board the same flight and attempt close contact with the celebrities. Flocks of fans following idol members are a common occurrence but dangerous situations often dp arise. On June 16, fans who gathered at Incheon International Airport to see the boy group Riize returning from an overseas event broke an automatic door when things became disorderly. Photos taken in such situations often become commodities. Fans who cannot attend events sometimes hire others to get photos or purchase photos. Posts selling photos taken at airports or other events are easy to find on social media platform X. Photos of stars are not the only thing for sale on the Internet. It is not difficult to find posts offering to sell information about K-pop singers, including their homes, personalities, phone numbers, relationship status and even details like their exes. ""I can't exactly count the number of purchase requests, but I do make some money out of it,"" said an anonymous X user who posted about selling celebrities' private information. ""I don't worry about the agency's warning. They don't take serious actions on sasaeng or people who provide information on artists,"" added the user. Kwak Keum-joo, a professor of psychology at Seoul National University, explained that obsession with celebrities is often accompanied by fantasies about the object of affection. “Having affection for someone is natural, but if that affection becomes excessive and especially if the person is not someone you interact with in your daily life, one may create a distorted fantasy about the person and become obsessed with it,” Kwak said. Kwak further explained that sasaeng fans' actions are a form of self-defense. “Some overly obsessive fans cannot tolerate any deviation from the image they have created in their minds. They continue their excessive behavior to maintain their affection and fantasy.” Kwak also noted that the diffusion of responsibility in crowd psychology encourages excessive actions among sasaeng fans. “When acting in a group, people become more aggressive and are less likely to recognize the wrongfulness of their actions. They mistakenly believe they have no responsibility for their actions as more people are acting just like them.” “It is a shame that sasaeng problem continues to persist, but celebrities must maintain their fandom to survive, so this issue is likely to persist,” Professor Kwak added.",iu,3.0,"The article mentions IU only briefly through her agency Edam Entertainment's statement about privacy violations and harassment by sasaeng fans. While it doesn't focus on IU specifically or her work as a singer/songwriter/actress, the article discusses a relevant industry-wide issue (sasaeng fans) that affects Korean celebrities like IU. The context matches her position as a high-profile Korean entertainment figure who would face these privacy and security concerns, but the article's relevance is limited due to the minimal direct connection to IU herself.",,IU's Agency Takes Stand Against Invasive Fan Culture,K-pop sensation IU faces mounting privacy concerns as her management team issues stern warning about stalker-like behavior at airports and hotels,Social,Company/representation,"The article focuses on IU's agency taking action against invasive fan behavior, which is primarily about how her management company is handling and representing her interests regarding privacy and safety concerns, particularly in public spaces like airports and hotels."
