url,title,date,thumbnail,content,celebrity,relevance_score,relevance_reason,source
https://www.koreaherald.com/article/10411664,Star producer Na Young-suk to create Netflix original,2025-02-04,https://wimg.heraldcorp.com/news/cms/2025/02/04/news-p.v1.20250204.570241db520247b9bf8640310da7afce_T1.jpg?type=h&h=240,"Netflix 2025 lineup includes boxing legend Manny Pacquiao in 'Physical: Asia'
Netflix unveiled its 2025 content slate on Tuesday, promising a diverse lineup spanning TV series, films and entertainment shows.
The global streaming powerhouse detailed its strategic vision at the ""Next on Netflix 2025"" press event on Tuesday, emphasizing its commitment to genre-spanning storytelling.
""In the content industry, it's easy to fall into the temptation of repeating past successes. However, that is a trap. Neither viewers nor creators want to see or make the same thing over and over again. That’s why Netflix strives to take a different path,"" said Bela Bajaria, chief content officer at Netflix, in a statement released at the event.
""Netflix is not afraid to take bold risks because surprising audiences with new challenges is in our DNA. That’s why we boldly invest in stories that are distinctive, unique and even deeply Korean.""
Kang Dong-han, vice president of Korean content at Netflix, underscored the platform's global reach and expansive audience.
""Netflix recently announced that its number of subscriber households worldwide has surpassed 300 million,"" said Kang, during the event. ""Not only us, but other streaming services have also become incredibly popular.""
Kang explained Netflix has therefore strategically opted for a diverse content slate, ensuring a viewing experience that spans multiple genres.
Among the scripted highlights for 2025, ""Melo Movie,"" starring ""Parasite"" breakout Choi Woo-sik and Park Bo-young, is set to debut on Feb. 14. The romance drama follows a film director who falls for an aspiring filmmaker.
""When Life Gives You Tangerines,"" led by global superstars Lee Ji-eun (singer IU) and Park Bo-gum, premieres March 7, chronicling a romance set on Jeju Island.
The second quarter sees the arrival of ""Mercy for None,"" an adaptation of a widely celebrated crime noir webtoon headlined by veteran actor So Ji-sub, alongside ""Karma,"" and the hotly anticipated ""Weak Hero Class 2,"" an adaptation of a popular webtoon.
""Dear Hongrang,"" a period drama delving into a precarious relationship between Lee Jae-wuk and Cho Bo-ah, is set for a second-quarter release, as is the much-awaited ""Squid Game"" season three.
The third quarter will see the premiere of the romance drama ""Love Untangled"" and the series ""Aema,"" starring Lee Ha-nee, which explores the ascent of ""Madame Aema,"" an erotic film that was hugely popular in 1980s Korea. Also slated for the third quarter are the action-thriller ""Trigger"" and the character-driven drama ""You and Everything Else,"" starring Kim Go-eun.
In the fourth quarter, celebrated screenwriter Kim Eun-sook returns with ""Genie, Make a Wish,"" a romantic comedy featuring Bae Suzy and Kim Woo-bin.
Meanwhile, ""Can This Love Be Translated?,"" a romance drama starring Go Youn-jung and Kim Seon-ho, and ""The Price of Confession,"" a high-stakes thriller starring Kim Go-eun and Jeon Do-yeon, are set to close the year.
Netflix’s roster of films for 2025 includes acclaimed director Yeon Sang-ho's ""Revelation,"" a chilling horror-thriller starring Ryu Jun-yeol.
The platform will also launch its first Korean animated film, ""Lost in Starlight,"" while ""Wall to Wall,"" a suspense-driven thriller starring Kang Ha-neul, also joins the lineup.
Other upcoming films include ""Mantis,"" a spin-off of Netflix’s hit action film ""Kill Boksoon,"" and historical action-drama ""Good News,"" featuring Seol Kyung-gu and set against the backdrop of a 1970s hijacking.
The fourth quarter will see the arrival of ""The Great Flood,"" a disaster blockbuster starring Kim Da-mi and Park Hae-soo, alongside ""Cashero,"" an adaptation of the popular Kakao webtoon.
Netflix Korea, whose entertainment shows recently achieved breakout success, is returning with sequels to its major hits.
The streaming giant confirmed that star producer Na Young-suk will be spearheading a new Netflix entertainment series, though details on its premiere and format remain under wraps.
Adding to the entertainment show slate, the second season of ""The Devil’s Plan"" is confirmed for a second-quarter debut. Netflix revealed that the world-renowned Go master Lee Se-dol will participate in the new season of the reality game show.
The fourth quarter will introduce ""Physical: Asia,"" featuring contestants in an international physical showdown. Among the high-profile participants is the legendary Filipino boxer Manny Pacquiao.
Meanwhile, the hit cooking survival competition ""Culinary Class Wars"" returns for season two in the fourth quarter, with original judges Paik Jong-won and Ahn Sung-jae returning to the show.
Netflix Korea further announced that the hit documentary show ""In the Name of God: A Holy Betrayal,"" which shook the nation in 2023, will return with a second season titled ""The Echoes of Survivors: Inside Korea’s Tragedies."" Details about the show have not been disclosed.",iu,3.0,"The article mentions IU (Lee Ji-eun) specifically in relation to an upcoming Netflix drama ""When Life Gives You Tangerines"" where she will star alongside Park Bo-gum, set to premiere March 7. While this aligns with her work as an actress, it's just a brief mention within a much larger article about Netflix's 2025 lineup. The article correctly identifies her (female actor) but doesn't provide substantial details about her role or performance. The context is appropriate for an actor, as it's about a streaming platform's upcoming productions, but IU is not a central focus of the article.",
https://www.koreaherald.com/article/10405827,"Romance series starring IU, Park Bo-gum to launch March 7",2025-01-23,https://wimg.heraldcorp.com/news/cms/2025/01/23/news-p.v1.20250123.2b2d9d85f51545b7af69c8227d1bcefd_T1.jpg?type=h&h=240,"Legendary K-drama creators come together for 'When Life Gives You Tangerines'
Netflix's highly anticipated romance series ""When Life Gives You Tangerines,"" starring Hallyu sensations Lee Ji-eun (also known by her stage name IU) and Park Bo-gum, will be released March 7, the global streaming service announced Thursday. It also unveiled the series' official poster and trailer.
The series tells the story of Gwan-sik (Park) and Ae-soon (Lee) as they navigate growth and love against the picturesque backdrop of Jeju Island's seaside.
The series is penned by Lim Sang-chun, the writer behind the hit drama ""When the Camellia Blooms,"" and directed by renowned drama director Kim Won-suk, known for his K-dramas ""Misaeng"" and ""My Mister.""
The trailer, released on Netflix Korea’s official YouTube channel on Thursday, features lively, upbeat music and highlights Jeju Island’s stunning scenery. The trailer captures the warmth of Ae-soon and Gwan-sik’s tender moments alongside scenes of their more turbulent youth, portraying a relatable and heartwarming tale of young love to come.",iu,5.0,"The article is highly relevant to IU (Lee Ji-eun) as it directly announces her leading role in a new Netflix series. It specifically mentions her by both her stage name (IU) and real name (Lee Ji-eun), confirms her as a female actor in a romantic lead role, and describes her upcoming acting project in detail. The context perfectly aligns with her occupation as an actress, and the article is focused on her professional work in the entertainment industry. The announcement of a major streaming series starring her is exactly the type of news expected for a prominent actor.",
https://www.koreaherald.com/article/10021630,"Yoo Jae-suk, IU top Gen Z picks for ideal leaders",2024-12-23,https://wimg.heraldcorp.com/news/cms/2024/12/23/news-p.v1.20241223.426aa5db8671431aa9d58365c79849a4_T1.jpg?type=h&h=240,"An online poll asked young Korean job seekers to select one person of each gender whom they believe embodies the qualities of an ideal leader. The top choices were TV personality Yoo Jae-suk and K-pop singer IU.
Among the male celebrities considered, Yoo Jae-suk received 23 percent support from the surveyed 2,507 job seekers belonging to Generation Z, defined for this purpose as those born between 1997 and 2006. In the female leader category, IU emerged as the top choice, garnering 21 percent, according to the survey conducted by online recruiting firm Catch.
For Both Yoo and IU, their thoughtfulness and kindness were cited as key reasons for their selection.
Male entertainer Dex received 18 percent of the vote, with respondents giving his empathy and kindness as significant attributes. Female dancer Gabee earned 19 percent of the vote to rank as the second most popular leader after IU.
In response to the poll results, Kim Jeong-hyun, a director at Catch, said, ""Gen Z views communication and kindness as critical traits in a leader. This is why public figures like Yoo Jae-suk and IU, who inspire trust and respect, resonate strongly with them.”",iu,4.0,"The article directly mentions IU and is about her being selected as an ideal leader by Gen Z Koreans, specifically highlighting her personality traits like thoughtfulness and kindness. While it's not directly about her work as a singer-songwriter or actress, it demonstrates her cultural influence and public perception in Korea. The article correctly identifies her as a female K-pop singer and the context aligns with her status as a prominent public figure in Korean entertainment. The only reason it's not a 5 is because it's more about her public image and leadership qualities rather than her primary occupations as a performer.",
https://www.koreaherald.com/article/10020363,"Ripple effects of Yoon Suk Yeol’s impeachment: Celebrities, businesses caught in crossfire",2024-12-20,https://wimg.heraldcorp.com/news/cms/2024/12/20/news-p.v1.20241220.7c77693f59dc402d8f7f89f0ce370f6d_T1.jpg?type=h&h=240,"The political upheaval surrounding the impeachment of President Yoon Suk Yeol has extended beyond the National Assembly, targeting celebrities and businesses.
Social media campaigns and boycotts have intensified, channeling public outrage in one of the world‘s most connected nations.
Singer IU, a K-pop singer and actor, has become a target of criticism from opponents of Yoon’s impeachment.
Her voluntary gesture of prepaying for food and hand warmers to support participants at a rally advocating for Yoon‘s impeachment has drawn significant criticism. Reports suggest that IU, along with other public figures, has been added to a “blacklist” allegedly compiled by Yoon’s supporters.
The “Yoon Suk Yeol Impeachment Support List” began circulating online last week, including IU and other celebrities, such as girl group NewJeans, filmmaker Bong Joon-ho, comedian Park Myung-soo and actor Go Ah-sung.
At the bottom of the image, it encourages reporting these individuals to the US Central Intelligence Agency, based on the spurious claim that being reported would prevent them from entering the United States.
One online user even posted a screenshot claiming to have reported IU to the CIA, urging others to participate in a “verification relay” by submitting similar reports.
The post, originally shared on the “People Power Party Gallery” of online forum DCInside, has since been deleted. Critics have dismissed the campaign as an embarrassing and absurd overreaction, with one commenter stating, “I don’t understand why people are resorting to such actions.”
Additionally, calls for boycotts against companies associated with IU have intensified. Lists of brands she has endorsement deals with, including Woori Bank and Hite Jinro, are being shared online with suggestions to stop buying products or services from the businesses.
On the other side, those supporting Yoon’s impeachment have launched a boycott against Purmil, a dairy company owned by the family of Rep. Yoon Sang-hyun’s wife.
Yoon Sang-hyun, a vocal opponent of the impeachment motion, has faced significant backlash. Critics accuse him and his family’s company of being complicit in insurrection, aligning their boycott with their broader political grievances.
Rep. Yoon, married to Shin Kyung-ah, a member of the family behind Purmil, has consistently opposed Yoon‘s impeachment.
On the day of the vote, he reaffirmed his stance, stating, “We cannot hand over power to the reckless Democratic Party led by Lee Jae-myung.”
His comments further fueled the campaign against Purmil.
Observers note that South Korea’s tendency to channel public sentiment into collective action has been magnified by social media. What begins as localized outrage can quickly escalate into nationwide campaigns, often fueled by misinformation, as seen with the CIA reporting claims, they said.
“Social media accelerates these dynamics,” said Choi Jong-ryul, a sociology professor at Keimyung University. “Outrage is no longer confined to political spheres -- it extends into cultural and economic realms, creating ripples that impact individuals and businesses alike.”
As South Korea grapples with the ramifications of Yoon Suk Yeol’s impeachment, the controversy’s reach to celebrities and businesses underscores the pervasive nature of political division, he added.",iu,4.0,"The article directly mentions IU and correctly identifies her as a K-pop singer and actor, matching her occupations. While the article isn't about her artistic work specifically, it discusses her involvement in a significant political situation that has affected her public image and business relationships (including her endorsement deals). The context involves her as a public figure facing backlash for her political stance, which is relevant to her status as a prominent celebrity in South Korea. The article correctly identifies her gender and professional status, though the main focus is on political controversy rather than her entertainment career.",
https://www.koreaherald.com/article/10019148,'Report IU to the CIA': Bizarre online trolling of celebs who support Yoon impeachment,2024-12-17,https://wimg.heraldcorp.com/content/default/2024/12/17/20241217050080_0.jpg?type=h&h=240,"Users of local websites with politically conservative inclinations are encouraging each other to file online reports to the US Central Intelligence Agency against K-pop star IU and other celebrities who publicly supported protests calling for President Yoon Suk Yeol's impeachment.
The anonymous users have posted screenshots of their reports to the US federal agency that collects and analyzes foreign intelligence.
""IU can't go to America now,"" read the title of an anonymous post on DC Inside, with the writer accusing the main opposition Democratic Party of Korea of being ""secretly backed by China"" and claimed IU was ""actively supporting communist forces.""
The users on the controversial website encouraged others to follow suit, sharing a list of celebrities that publicly supported Yoon's impeachment. Some of them said that reporting the celebrities as spies would trigger investigations, making it difficult for them to visit or work in the US.
They have also called for a boycott of products sold by companies endorsed by IU and other celebrities, sharing a list of the brands.
IU, one of Korea's most influential pop stars, recently provided prepaid meals and snacks to people taking part in the protests against the president.
President Yoon currently faces an impeachment trial and criminal investigation on charges of insurrection for his declaration of martial law on Dec. 3, which marked the first time in over 40 years that martial law has been declared in the country. It was revealed by military commanders and government officials that Yoon ordered the arrests of prominent political figures and his outspoken critics.
He also sent troops to the National Assembly and the National Election Commission, with the latter possibly linked to his claim that the past two parliamentary elections -- which Yoon's party lost -- were ""rigged.""",iu,4.0,"The article directly mentions IU and is about her specifically, confirming it's about the correct female Korean celebrity. While it's not about her primary work as a singer-songwriter or actress, it discusses her public influence and actions as a celebrity, including her support for political protests through meal donations. The context is relevant to her status as a major Korean entertainment figure, though the main focus is on political backlash rather than her artistic work.",
https://www.koreaherald.com/article/10017103,K-pop star IU supplies hot food for fans attending anti-Yoon rallies,2024-12-14,https://wimg.heraldcorp.com/content/default/2024/12/14/20241214050004_0.jpg?type=h&h=240,"K-pop superstar IU has arranged for hot food and drinks, as well as hot packs, to be provided to people attending a rally calling for the impeachment of President Yoon Suk Yeol, her agency said Friday.
Edam Entertainment, in an official fan cafe post, said the singer wanted to provide warmth to ""Uena,"" or IU fans, who would be attending the protests in the cold weather.
""We hope that the hands of Uaena, who brighten the surroundings, will be a little warmer,” the post reads.
The food provided by IU includes 100 portions of bread, 100 drinks, 100 bowls of soup, 100 bowls of beef bone soup, and 100 portions of rice cakes.
The agency also mentioned that anyone, even if they are not officially registered members of the fan club, could receive the food and hot packs on a first-come, first-served basis at the rallies.
Young protesters are taking to the streets with light sticks, singing K-pop songs to express their anger at President Yoon, who imposed martial law last week in a high-stakes gambit to reverse his struggling political fortunes.
South Korea’s parliament is set to vote on his impeachment at 4 p.m. Saturday.
IU, whose real name is Lee Ji-eun, is also an actress known for her roles in various TV and film productions, including “My Mister.”",iu,3.0,"While the article is definitely about IU (Lee Ji-eun) and correctly identifies her as both a K-pop star and actress, the content focuses on her charitable/political activism rather than her primary occupations as a singer-songwriter or actress. The article only briefly mentions her acting work in ""My Mister"" as a side note. The subject matter (providing food for protesters) is not directly related to her artistic work, though it does demonstrate her public influence as a celebrity. The article correctly identifies her gender and occupations but doesn't substantially discuss her professional work.",
https://www.koreaherald.com/article/10012108,Byeon Woo-seok of 'Lovely Runner' to join IU in romance series,2024-12-02,https://wimg.heraldcorp.com/content/default/2024/12/02/20241202050014_0.jpg?type=h&h=240,"Global Hallyu sensation Byeon Woo-seok is set to star alongside Lee Ji-eun, better known as singer-songwriter IU, in an upcoming romance series, Kakao Entertainment announced Monday. The series, tentatively titled ""21st Century Grand Prince's Wife,"" is a romance drama set in an alternate version of Korea ruled by a constitutional monarchy. Lee Ji-eun will portray Seong Hee-joo, the second-oldest daughter of the nation's leading conglomerate family, who comes from commoner roots. Byeon will play Prince I-an, the king's second son, burdened by a life of obscurity despite his royal lineage. The story will follow their fateful encounter and the transformative journey that ensues. The series, set for release in the second half of 2025, will be a co-production between MBC and Kakao Entertainment. The series marks Byeon’s first confirmed project following his breakout success in tvN's ""Lovely Runner"" (2024), where he starred as main lead Ryu Seon-jae. The drama gained international acclaim, topping the charts in 130 countries on Rakuten Viki and making history in Korean streaming by driving Tving, its exclusive domestic platform, to surpass Netflix in daily viewing hours for the first time on the day of its finale. ""Lovely Runner"" catapulted the model-turned-actor to a rock-star status, and anticipation for his next project had been building since the drama aired its final episode in May. The series also marks Lee's return to TV since the success of tvN's ""Hotel Del Luna"" (2019). The hit drama became tvN's most-watched series of the year in 2019, peaking at a 12 percent viewership rating. Lee is also gearing up for her role in the Netflix series ""When Life Gives You Tangerines,"" in which she stars alongside actor Park Bo-gum. The series is slated to premiere in the first half of 2025.",iu,5.0,"The article is highly relevant to IU (Lee Ji-eun) as it directly discusses her upcoming acting project ""21st Century Grand Prince's Wife"" and mentions her previous work in ""Hotel Del Luna"" and upcoming Netflix series. The article correctly identifies her as a female actress and singer-songwriter (referring to her as ""better known as singer-songwriter IU""), and the content focuses on her professional acting career, which aligns with her occupation as an Actor. The context perfectly matches what would be expected for an actor, discussing casting news, project details, and previous acting credits.",
https://www.koreaherald.com/article/3479672,[Herald Review] IU wraps up 1st world tour 'HEREH' at Seoul World Cup Stadium,2024-09-23,https://wimg.heraldcorp.com/content/default/2024/09/23/20240923050500_0.jpg?type=h&h=240,"K-pop sensation IU wrapped up her first world tour, ‘HEREH,’ with an unforgettable finale Sunday at the Seoul World Cup Stadium. She made a striking entrance on a swing-like lift, dressed in a sparkling coral mini dress and a white headset, kicking off the show with “Holssi,” the first track from a captivating setlist that spanned over two hours. IU took an audience of 50,000 on a mesmerizing journey, performing “Ah Puh” amidst a stunning display of whale and jellyfish-shaped lanterns carried by dancers. While the open-air venue posed some challenges with sound delays that slightly detracted from the immersive experience, IU skillfully countered this with a variety of creative props and stage effects. The second section of the show began with a little girl awakening onstage, setting the scene for a magical moment when a star, carried by a drone, guided her to IU, who reappeared on the swing lift adorned with colorful flowers to sing “Celebrity.” She then flew over the venue to the stage front, where her fans, donning blue flower headpieces, surprised her during “Blueming.” “It’s wonderful to see you up close. Your affectionate gazes fill my heart with love. Thank you for this surprise event. I included this song just for this encore show,” IU said. She expressed her desire to perform “I Stan U” surrounded by her audience, adding, “Thank you for starting your autumn with my concert. Just as you cheer for me, I hope to be that kind of audience for you as well.” During the concert, IU also debuted a new song, “Bye Summer,” showcasing her skills on a crystal blue electric guitar. “This tour felt like summer lasted forever. However, I want to say it’s been the best summer because I shared it with all of you. This song feels fitting for a day that marks the end of summer,” she explained. The concert peaked with 1,000 drones illuminating the night sky during “Last Fantasy.” Dressed like a fairy tale princess wearing a flowing white gown and a crown, IU created a magical atmosphere enhanced by fireworks. A giant Tweety balloon, reminiscent of her “Shopper” music video, floated above as she performed the lead track from her latest EP ""The Winning."" As the concert drew to a close, IU reflected on the emotional weight of the moment. “This is the last moment of my world tour, and it makes me feel so sentimental. I hope you achieve victories, big and small, until we meet again,” she said, transitioning to “Love Wins All,” the final song on her setlist. Accompanied by an orchestra and a choir, her soulful performance left the audience mesmerized, inspiring clapping atypical of K-pop concerts. Sunday's show was also her 100th concert. “It feels surreal that today’s final show of my first world tour is also my 100th concert. I was surprised a fan was counting all my concerts — something even my parents don’t do. This world tour was possible because of your love and support. I promise to return with more great music,” she concluded.",iu,5.0,"The article is highly relevant to IU, focusing on her as both a singer-songwriter and performer. It specifically covers her first world tour 'HEREH' finale concert, mentioning her by name throughout, describing her performances, song selections, and interactions with fans. While it emphasizes her musical career more than her acting, this aligns with her dual career as both a singer-songwriter and actress. The article clearly refers to her using feminine pronouns and describes her stage outfits and performances in a way that confirms this is about the correct female artist. The content is entirely consistent with coverage of a major K-pop star and performer.",
https://www.koreaherald.com/article/3474909,'Keep IU off the grass': Soccer fans oppose K-pop concerts at World Cup Stadium,2024-09-17,https://wimg.heraldcorp.com/content/default/2024/09/12/20240912050871_0.jpg?type=h&h=240,"National soccer team captain Son Heung-min's comment over grass conditions leads to complaints about K-pop concerts at stadium From Madison Square Garden in New York to Wembley Stadium in London, the biggest sports arenas and stadiums in major cities often double as concert venues. But holding concerts at Seoul World Cup Stadium is being challenged by some soccer fans complaining that nonsports events there have crucial detrimental effects on the field. A self-proclaimed fan of Son Heung-min on Sept. 11 posted a petition on the state-run e-People website, calling for the cancellation of the K-pop superstar IU's concert slated for Sept. 21-22 in Seoul World Cup Stadium in Sangam-dong, Seoul. The petitioner claimed that the large crowd expected for the concert -- which sold out 100,000 tickets within minutes -- will damage the grass of the stadium that will be used for the qualifying matches of the upcoming 2026 World Cup. After playing Palestine on its home field on Sept. 5, South Korea will host the rest of its Group B opponents in the qualifiers slated until next year. But there have been multiple complaints from players, fans and even opposing teams about the poor conditions of the grass. ""A third-round qualifying match between South Korea and Iraq is slated in Sangam on Oct. 15, and (the authorities) should try their best to manage the grass there for remainder of (the World Cup qualifiers) period,"" the petitioner wrote. The person cited Seoul Metropolitan Government's Ordinance on the Installation and Operation of Seoul Sports Facilities, which in Article 5-3 states that the mayor may bar or even cancel use of a sports facility if they deem an event as possibly causing a hindrance to the management of the facility in question. Grass greener on other side The controversy started when national team captain Son-- who led his team's 3-1 road win over Oman with a go-ahead goal in the second half -- complained about the grass in the Seoul World Cup Stadium. He said the Sultan Qaboos Sports Complex's field being in good condition allowed him to play with more confidence, adding that he wishes such good management could be applied to Korea's home fields as well. After his team ended in a goalless draw against Palestine in Seoul, he claimed the grass had made things difficult for him to control the ball. The allegedly questionable grass conditions at the Seoul World Cup Stadium have long been an issue here. Former national team player Ki Sung-yueng in 2017 jokingly said that he was not worried about a road match in China, because the grass there ""could not possibly be worse than in Seoul."" In light of the concerns over grass, Seoul Facilities Corporation in October 2021 installed new turf comprised of 95 percent natural and 5 percent synthetic grass. Fewer events were held at the stadium since then compared to before, with the venue being concert-free for a full year since the new field was installed. But between the ongoing remodeling of the Seoul Olympic Main Stadium in Jamsil, southern Seoul and the Gocheok Sky Dome being occupied for the professional baseball league season, the World Cup Stadium has become virtually the only venue in Seoul to hold mega-sized concerts. The concerts of band Seventeen and singer Lim Young-woong were held in the stadium, each in April and May of this year, prior to the upcoming IU concert. Operators of the Seoul World Cup Stadium told the local media that warnings about the grass are notified to whoever rents the stadium, and those who rent it are mandated to restore any damages to the field. Grass access is also limited to the minimum number of personnel required to install the stage and conduct the events, they added. The performers themselves also make efforts to minimize damage to the grass, such as Lim not installing seats on the field. IU's agency also vowed to follow the policies by protecting the grass, disassembling the stage as soon as the concert ends, while keeping the grass hydrated and well-ventilated during the event. With concerns over the grass conditions in Sangam, the Korea Football Association is mulling whether to select a different venue for upcoming home matches. The officials, however, said player convenience should be considered in any potential change of venue, and vowed to come up with a solution as soon as possible before the next match in October. South Korea is currently playing to earn one of two direct World Cup berths allocated for the Group B teams in the third round of the Asian Qualifiers. The team will face off against Iraq on Oct. 15 at home on the as yet undecided field. If the country fails to finish in the top two of its group, it will compete in the fourth round for a spot in the inter-confederation playoffs.",iu,4.0,"The article directly mentions IU and discusses her upcoming concert at Seoul World Cup Stadium, which relates to her work as a singer-songwriter. While the main focus is on the controversy surrounding stadium grass conditions, IU is a central figure in the story as her scheduled concert is the specific event being challenged. The article mentions her agency's response and their plans to protect the grass during her concert. This matches her identity as a female K-pop star, though it doesn't address her acting career. The context is appropriate for a major musical performer of her status, as stadium concerts are typical for top-tier K-pop artists.",
https://www.koreaherald.com/article/3471307,"So many epic performances, so few places to hold them",2024-09-09,https://wimg.heraldcorp.com/content/default/2024/09/09/20240909050660_0.jpg?type=h&h=240,"While K-pop continues its phenomenal growth and more people attend live performances than ever before, one issue remains unchanged from a decade ago -- the chronic shortage of concert venues. ""Finding a venue is like finding a needle in a haystack,"" said an official from a music festival organizing agency. The official added that many performances that were originally scheduled for December to target the year-end are being pushed to January due to the shortage of venues. Another industry insider also commented on the severe shortage of performance venues. ""It is true that Seoul lacks big concert venues. While international artists often prefer larger venues, they have no choice but to perform in smaller, available spaces to fit their schedules."" The Music Concert Industry Association of Korea, established in March 2021 by 46 entertainment agencies and concert planning companies, announced last week it has launched a petition drive to address the shortage of performance venues in Seoul. The petition aims to pressure the government and the city of Seoul to establish temporary concert venues in the metropolitan area. The association proposes the creation of an integrated task force involving the government, city, sports industry and cultural sector to come up with solutions to the venue shortage issue. Are there really no large-scale concert venues in Korea? One of Seoul's most prominent large-scale venues, Jamsil Olympic Stadium – which can accommodate up to some 60,000 people – will not be able to function as a concert hall for the next few years. Starting in 2027, it will serve as an alternative venue for Jamsil Baseball Stadium, which is set to undergo expansion until 2031. Seoul World Cup Stadium in Sangam-dong, northwestern Seoul, which can hold up to 66,000 people, is primarily a dedicated soccer stadium, making it difficult to secure for concerts. Only a few artists, such as Lim Young-woong, Seventeen and IU, have managed to book the venue. Even when successful, they have faced criticism over potential damage to the soccer field. Other frequently used venues include the 15,000-seat KSPO Dome, originally a gymnastics venue for the 1988 Seoul Olympics, and the 20,000-seat Gocheok Sky Dome, Korea's first enclosed dome baseball stadium. The Olympic Hall, a popular music-specific concert venue located in Olympic Park in eastern Seoul, has only 3,000 seats, while the adjacent SK Handball Gymnasium can accommodate up to 5,000 people. In comparison to Japan, which has five venues with over 30,000 seats and more than 40 venues with more than 10,000 seats, Korea's concert venue infrastructure falls far short in both size and number. The emergence of global idol groups and popular trot singers has resulted in massive fan bases that can fill large concert venues, but the growing demand for more venues has been unmet. This lack of large concert venues has led to some top international artists -- including Taylor Swift -- to skip South Korea on their world tours. Additionally, since most large concert venues here are primarily sports facilities, government and sporting events are given priority, leaving very few dates available for concerts. ""The size of the venue is a measure of an artist's capability, but right now, Korean artists have no way to gauge their popularity beyond the 18,000-seat KSPO Dome,"" the insider explained. ""It would be great if there were venues for artists who attract between 20,000 and 50,000 fans,"" the insider further noted, pointing out the lack of a venue between the 18,000-capacity KSPO Dome and 60,000-capacity World Cup Stadium. The official added that using a sports facility as a concert venue requires significant preparation and investment. ""I understand that some sports stadiums overseas are designed to be easily converted into concert venues, with features like reversible surfaces to protect the turf and better sound equipment. However, since we perform in sports stadiums that weren't built with these considerations in mind, the cost of preparing for a concert is much higher."" Is construction the solution? Meanwhile, some argue that building large-scale venues is not the only solution. Pop music critic Lim Hee-yun pointed out that while the demand for concerts has indeed increased, the key question is whether this demand will be sustained in the future. ""It is true that there has been a significant rise in the number of festivals, concerts and international artists' tours, leading to a shortage of venues. However, constructing new venues requires substantial budget and given the uncertainty about future demand, careful consideration is necessary,"" Lim said. Lim referred to the recently failed K-Culture Valley project in Goyang, Gyeonggi Province, highlighting the risks associated with large-scale venue projects. The K-Culture Valley project aimed to build a cutting-edge large-scale concert hall and studio on a 237,000-square-meter lot, approximately the size of 46 soccer fields, in Goyang, just outside Seoul. However, CJ LiveCity, the project developer, halted construction in April 2023 and its contract with Gyeonggi Province was terminated in July of this year, effectively ending the project. ""As K-pop grew explosively, there were numerous plans for arena venues. Local governments showed interest and invested in these projects. But we have started to see cases where these plans fizzled out. Ultimately, the most feasible option is to make use of existing venues,"" Lim assessed. Ilsan's Kintex and the Goyang Sports Complex are examples of existing venues being used for concerts. One of the most prominent venues, KSPO Dome, initially criticized for its inadequate sound system, has become a more fitting venue after remodeling and various improvements. This suggests that developing and enhancing existing facilities could also be a viable solution. Lim further emphasized the need to consider multipurpose spaces, noting that many overseas venues serve both as concert halls and sports facilities. ""Wembley Stadium in London is used both as a soccer stadium and a concert venue, and SoFi Stadium in LA serves as an NFL stadium and a concert venue. Globally iconic venues often have multipurpose functions, combining sports events with concerts.""",iu,3.0,"The article mentions IU specifically but only briefly, noting her as one of the few artists who managed to book Seoul World Cup Stadium for concerts. While this relates to her work as a singer-songwriter, it's not focused on her specifically. The article is broadly about venue shortages in Korea's concert industry, which affects IU as a performing artist, but she is not the main focus. The context is appropriate for her role as a singer, but doesn't address her acting career at all.",
