url,title,date,thumbnail,content,celebrity,relevance_score,relevance_reason,source,headline,subheading,category,subcategory,category_reason
https://www.koreaherald.com/article/10409223,'Squid Game' season 3 to premiere on Netflix on June 27,2025-01-31,https://wimg.heraldcorp.com/news/cms/2025/01/31/news-p.v1.20250131.355ea0c7f5534a87bd3e218e963ac2ef_T1.jpg?type=h&h=240,"Netflix releases poster, first-look images of final season
Netflix has officially announced June 27 as the premiere date for the highly anticipated third season of ""Squid Game.""
According to the streaming service, season three will thrust Ki-hun (Lee Jung-jae) into a relentless fight for survival following a failed and bloody rebellion against the game’s masterminds.
The upcoming season lands six months after season two debuted in December 2024. According to Netflix, both seasons were filmed back-to-back.
Alongside the announcement, Netflix also dropped a chilling new poster and a batch of first-look images.
The poster shows a masked guard dragging a lifeless contestant across an orange, flower-patterned floor arranged in a circular design. Cast in eerie shadows are the silhouettes of Young-hee -- the show’s infamous killer doll -- and Young-soo, a male robot poised to make his debut this season. The poster’s tagline, written in Korean, reads: ""Will you participate in the final game?""
Meanwhile, the first-look images paint an equally grim picture, with Ki-hun handcuffed to a post, appearing to seethe over the death of his close friend Jung-bae (played by Lee Seo-hwan). Netflix also teased that No-eul (played by Park Gyu-young), a North Korean defector working as one of the game’s masked guards, may be seen outside the game’s confines, with her mask removed.
The second season of ""Squid Game"" has maintained its position as the most-watched title across all of Netflix's non-English-language shows in its fifth week of release.
According to the official Top 10 rankings on Friday, the second season of ""Squid Game"" has amassed 7.9 million views to date.",leejungjae,5.0,"The article is highly relevant to Lee Jung-jae as he is explicitly mentioned as the lead actor reprising his role as Ki-hun in the third season of ""Squid Game."" The article discusses his character's storyline in the upcoming season and includes details about scenes he appears in, specifically mentioning him being handcuffed to a post in one of the first-look images.",,Lee Jung-jae Returns for Final Battle in 'Squid Game' Season 3,Lee Jung-jae's character Ki-hun faces deadly new challenges as Netflix announces June premiere date for the series' conclusion,Acting,Drama/Series,"The article discusses Lee Jung-jae's return to his role as Ki-hun in the upcoming third season of Netflix's ""Squid Game"" series, focusing on his continued involvement in a television drama production."
https://www.koreaherald.com/article/10401454,'Squid Game' art director says participants nearly wore sky blue uniforms,2025-01-17,https://wimg.heraldcorp.com/news/cms/2025/01/18/news-p.v1.20250117.75f20f8ac2aa4d20b67af220d390c21f_T1.jpg?type=h&h=240,"Creative directors of 'Squid Game' say they aimed for continuity between first, second season
The creative minds behind the second season of ""Squid Game"" offered an in-depth look into the artistic, musical and cinematographic choices that shaped the show's most recent chapter, revealing some behind-the-scenes efforts that almost led to a major overhaul of the series' visual identity.
Award-winning art director Chae Kyung-sun, who has recently garnered a prestigious nomination from the American Art Directors Guild Awards in the category for ""one-hour contemporary single-camera series,"" shared her design approach in a group interview Thursday.
While there were attempts to drastically modify the iconic green sportswear worn by the participants, Chae explained that they ultimately decided to preserve the visual identity from the beginning of ""Squid Game.""
""Initially, there were attempts to change the color of the sportswear to sky blue or significantly modify the set design, but ultimately, preserving the existing symbolism proved to be the right choice,"" she reflected.
""We (also) considered changing the color of the bedding at the accommodations or rearranging the color scheme of the hallway,"" said Chae, who also worked on the first season. ""It was a rather bold challenge. But in the end, we decided to stick with the original.""
Chae divulged that her original vision for the set design featured elements drawn from a carousel, subway stations and public apartment buildings. However, not all of these concepts came to life on screen. She highlighted the carousel chosen for the ""Round and Round"" game, explaining, ""The carousel was a symbolic element that could convey both the festive atmosphere and the tension of the game at the same time.""
Music director Jung Jae-il, also a veteran from the series' first season, explained his approach to striking a balance between honoring the iconic soundscape of ""Squid Game"" while introducing fresh elements for the second season.
One particularly striking example of this was his rearrangement of the Korean children's song ""Round and Round,"" which has since become a viral hit and has even been heard playing in nightclubs overseas.
Jung said he infused the popular children's song with electric sounds to amplify the tension. ""I wanted to leave a strong impression by adding a cheerful melody to the scenes full of betrayal and tension,"" he noted.
Kim Ji-yong, who joined ""Squid Game"" to helm the filming of the second season, discussed his efforts to bring a documentary-style realism to the series.
""We chose camera angles that brought viewers closer to the characters and events, making them feel as if they are inside the arena, while sometimes using a distant, omniscient perspective for observation,"" he explained.
Kim emphasized the use of overhead shots in the game scenes, drawing inspiration from mitosis. ""The overhead shots resembling cell division imagery enhance the tension of the drama,"" he said.
Kim revealed that for the second season red and blue were selected as primary colors to thread throughout the series. The hues were strategically applied at multiple locations, including the exterior of the motel where Gi-hun (Lee Jung-jae) resides as well as in the dormitory for the games.
""I wanted to show that there is not much difference between the inside and outside of the game arena.""",leejungjae,3.0,"While the article discusses ""Squid Game"" season 2, which stars Lee Jung-jae as Gi-hun, he is only briefly mentioned once in reference to his character's motel location. The article primarily focuses on the creative decisions behind the show's art direction, music, and cinematography rather than Lee Jung-jae's role or performance.",,'Squid Game' Returns: Lee Jung-jae's World Gets Even Darker,"As Lee Jung-jae's character Gi-hun faces new challenges, creative team reveals how they maintained the show's iconic style while adding sinister new elements",Acting,Drama/Series,"The article discusses Lee Jung-jae's role as Gi-hun in the returning season of ""Squid Game"" series, focusing on his character development and the show's creative direction for the new season."
https://www.koreaherald.com/article/10382632,Director of 'Squid Game' 2 expected criticism,2025-01-05,https://wimg.heraldcorp.com/news/cms/2025/01/03/news-p.v1.20250103.9256517d715d452eb5b3eb33b896139a_T1.jpg?type=h&h=240,"Reflecting on modern society, Hwang Dong-hyuk emphasizes anger should be aimed “upward” — at masterminds behind system
The second season of Netflix’s global juggernaut ""Squid Game"" has sparked debate since its release, dividing critics and fans alike. While the show remains the talk of the town, its sequel to the groundbreaking original has faced both accolades and backlash.
A week into its debut, murmurs of discontent have arisen, with detractors lamenting a perceived stagnation in storytelling and a lack of the first season’s ingenuity. Some have called the new games uninspired, bereft of the thematic depth or fresh insights that elevated ""Squid Game"" to its iconic status.
Yet, for series mastermind Hwang Dong-hyuk, these critiques come as no surprise.
Speaking during a recent group interview, the director reflected on the colossal shadow cast by season one.
“Season one was a project that came out without any expectations, wasn’t it?” said Hwang, during a group interview held on Thursday.
“I think the reaction was much more intense for the first season because of the surprise and freshness it brought to the world,"" he said.
Despite the polarizing response, Hwang appeared to take the critiques in stride.
From unmet expectations of sharper societal critique to the longing for dopamine-fueled spectacle, judging from the responses he got for ""Squid Game"" season one, Hwang said he knew the spectrum of fan demands was nearly impossible to reconcile.
""I understood that some level of disappointment would arise,” he acknowledged, adding that the decision to carry over the narrative into a third season likely exacerbated some viewers’ frustrations.
Among the more pointed critiques is the arc of Gi-hun (Lee Jung-jae), whose paradoxical journey has left audiences divided. Initially reentering the death games to save everyone, Gi-hun's later choices to sacrifice a few for the greater good raised eyebrows. Hwang, however, said he saw this as central to the character’s evolution throughout the three seasons.
Moreover, according to Hwang, Gi-hun’s ill-fated rebellion, a futile effort to upend the system that took place at the end of season two, serves as a microcosm of societal frustration.
For Hwang, this subplot is a reflection of the futility of fighting back in today's fractured world.
“I think over the time I’ve written and worked on 'Squid Game,' things have changed in a negative direction,"" he said.
“The anger, which should be directed upward, is instead aimed sideways or downward,"" he added, asserting that “The real fight isn’t among us — it’s against those running the game.""
As Hwang heads to the US for the Golden Globes, where the series has earned a nomination for best drama, Hwang admitted he isn’t anticipating a win for the series. The 82nd Golden Globes takes place in Los Angeles, US, on Monday.
""I believe (a work's) message is very important. Since neither the characters’ arcs nor the message was fully developed (in season two), I thought it would be difficult to take the new season to an awards ceremony. So, I had almost no expectations, and when it did get selected, I was genuinely shocked,"" he said, adding, “As for winning an award, I’m not expecting it. I haven’t even prepared an acceptance speech.”
Looking ahead to season three, potentially slated for 2025 release, Hwang teased a darker, more emotionally intense continuation.
“Season three will feature new games, and they’ll be quite shocking,” he revealed, adding that the last season will push the boundaries of human depravity and resilience. “There will be scenes far more emotionally intense than those in seasons one and two. I think it’s wise to be mentally prepared for that.”",leejungjae,4.0,"The article significantly discusses Lee Jung-jae's character Gi-hun and his character arc in Squid Game's second season, specifically addressing the controversial nature of his character development and choices. While Lee Jung-jae himself isn't directly quoted or extensively discussed, his character's storyline is central to the article's discussion of the show's narrative direction and themes.",,Lee Jung-jae's Controversial Character Arc Divides 'Squid Game' Fans,Director defends Lee Jung-jae's complex transformation from savior to morally gray protagonist in season two,Acting,Drama/Series,"The article discusses Lee Jung-jae's character development and performance in the Netflix series ""Squid Game"" season two, focusing on his role transformation and the director's defense of the character arc."
https://www.koreaherald.com/article/10032591,'Squid Game' Season 2 tops global Netflix chart one day after its release,2024-12-28,https://wimg.heraldcorp.com/news/cms/2024/12/28/news-p.v1.20241228.771079748cba49c79714c65de8ced8c3_T1.jpg?type=h&h=240,"Netflix's ""Squid Game"" Season 2 has ranked No. 1 on a global popularity chart for TV shows available on the streaming giant, just one day after its release, data showed.
Netflix's Korean original series ""Squid Game"" Season 2 topped streaming analytics website FlixPatrol's global chart for top TV shows on Netflix on Friday (U.S. time) after its release the previous day.
Of 93 nations compiled by FlixPatrol, it was the most-viewed TV show on the streaming service in 92 nations, including South Korea, the United States, France, Mexico, Britain and Hong Kong. It placed second only in New Zealand.
The new season follows protagonist Gi-hun (Lee Jung-jae), who abandons his plans to leave for the US after winning the lethal competition. Instead, he returns to Korea with an unwavering mission: to end the deadly games forever.
The first season of the Korean thriller made waves at the 79th Golden Globes in 2022, earning three nominations: best TV drama, best actor for Lee Jung-jae and best supporting actor for O Yeong-su. (Yonhap)",leejungjae,5.0,"The article is highly relevant to Lee Jung-jae as he is explicitly mentioned as the protagonist (Gi-hun) in Season 2 of Squid Game, and his Golden Globe nomination for Best Actor in Season 1 is specifically referenced. The article directly discusses his character's storyline in the new season and his previous accolades for the role.",,Lee Jung-jae Returns in Record-Breaking 'Squid Game' Season 2,Award-winning actor Lee Jung-jae leads Netflix's most-watched show as it dominates streaming charts in 92 countries within 24 hours of release,Acting,OTT,"The article discusses Lee Jung-jae's return in the second season of Netflix's streaming series ""Squid Game"" and its immediate success on the streaming platform across multiple countries, making it primarily about his acting work in an OTT (Over-The-Top) streaming series."
https://www.koreaherald.com/article/10031578,Hype grows for season 2 of 'Squid Game',2024-12-26,https://wimg.heraldcorp.com/news/cms/2024/12/26/news-p.v1.20241226.4cff8ca219d44dc3a56c8cebb334c949_T1.jpg?type=h&h=240,"Two passersby look on at a replica of a famous doll featured in Netflix's hit series ""Squid Game,"" in Seoul's Gwanghwamun Square on Thursday afternoon, hours prior to the global release of the series' second season.
Directed by Hwang Dong-hyuk and starring Lee Jung-jae, the survival thriller has been South Korea's biggest hit on the global streamining platform so far.
The second season of ""Squid Game,"" which became Netflix’s most-watched series following its release in 2021, was set to premiere at 5 p.m., Thursday.",leejungjae,4.0,"The article directly mentions Lee Jung-jae as a star of ""Squid Game"" and discusses the release of the show's second season, in which he is expected to reprise his role. However, it doesn't provide detailed information about his specific contribution or role in the series, which prevents it from being a perfect 5 in relevance.",,'Squid Game' Returns: Lee Jung-jae's Global Phenomenon Launches Second Season,South Korean superstar Lee Jung-jae reprises his iconic role in Netflix's most-watched series as fans eagerly await today's premiere,Acting,Drama/Series,"The article announces Lee Jung-jae's return in the second season of ""Squid Game"" on Netflix, focusing on his continuing role in a television series on a streaming platform."
https://www.koreaherald.com/article/10022914,'Squid Game' season 2: Key insights and what’s coming next,2024-12-25,https://wimg.heraldcorp.com/news/cms/2024/12/25/news-p.v1.20241224.f7a4bac5279d49f7b80c84749e944950_T1.jpg?type=h&h=240,"Netflix’s towering tentpole of 2024, the second season of “Squid Game,” hits the global platform on Thursday, catapulting viewers back into the labyrinth of life-or-death games that enthralled audiences worldwide three years ago.
Anchored by Lee Jung-jae’s reprisal of Ki-hun -- a man whose haunting past fuels his return to the blood-soaked battleground -- the new season promises to weave an even more intricate web of suspense and moral dilemmas in pursuit of a fortune that rewards the few who endure.
The cultural juggernaut’s sophomore outing arrives with a Golden Globe nomination for best drama already under its belt — a rare accolade for a series yet to premiere.
As the show lands just in time to brighten the peak holiday season, here’s a primer for newcomers and a glimpse into the mysteries that may await resolution.
Ki-hun’s Personal Life
In the first season, Ki-hun’s journey begins as a portrait of despair.
Divorced and drowning in gambling debt that leads him to signing away his body to loan sharks, he lived with his ailing mother while grappling with the fallout of his divorce.
Despite emerging victorious in the games and claiming the staggering cash prize, Ki-hun’s triumph was anything but celebratory. Haunted by the trauma, Ki-hun turns his focus to confronting the shadowy figures orchestrating the deadly competition.
As season two unfolds, questions linger: What becomes of Ki-hun’s personal life? How will his fractured relationships and lingering guilt shape his actions this time?
Deadly Games
Season one’s games offered a twisted blend of childhood nostalgia and brutal survivalism. Following is a refresher on the challenges that gripped audiences in season one.
Red Light, Green Light: Players had to freeze when prompted, or face instant elimination by a motion-sensing animatronic doll.
Sugar Honeycomb: Participants carved shapes out from fragile honeycomb candy, with failure resulting in death.
Tug-of-War: The team-based game required opposing sides to pull on a rope, aiming to drag the central marker across their line to claim victory.
Marbles: The game involved pairs of players competing against each other to win all of their opponent's marbles, using any agreed-upon rules, with the loser eliminated.
Glass Bridge: Participants had to take leaps of faith across glass panels, which randomly shattered under pressure.
Squid Game: The titular finale demanded one to navigate offensive and defensive roles to reach the head of the court shaped like a squid and tap it with their foot to win.
Director Hwang Dong-hyuk has hinted that season two will raise the stakes with even more creative and intense challenges. The official trailer revealed a new location for one of the games -- a Ferris wheel -- and viewers may expect games that test the limits of horror and psychological depth in the upcoming season.
Voting System
Season one unveiled a rule allowing participants to end the games if the majority agreed. Initially, players voted to leave after witnessing the carnage of the first game, only to return, driven by the despair of their lives outside the arena.
According to Hwang, the voting system will play a crucial role in season two. However, details about how the system will evolve and how it might significantly impact the storyline — something it did not do so much in the first season — remain unknown.
Will the system evolve? How will the votes impact the course of the games and the story of the second season of ""Squid Game""?
The Frontman and Jun-ho’s Relationship
Season one ended with a shocking revelation that the enigmatic Frontman (Lee Byung-hun), who oversees the deadly games, was Jun-ho’s estranged older brother. Jun-ho (Wi Ha-joon) is a determined police officer who infiltrated the games to uncover their secrets.
In a dramatic turn, at the end of the season the Frontman shoots Jun-ho, sending him plummeting off a cliff.
Season two teases at Jun-ho’s survival and his potential return, setting the stage for an exploration of family ties, justice and dark forces behind the games.
What role will Jun-ho play in the upcoming season? Will he join forces with those such as Ki-hun that try to make their way into the deadly games? The high-stakes drama is poised to dominate watercooler conversations once again.",leejungjae,5.0,"The article is highly relevant to Lee Jung-jae as he is a central focus, being the lead actor who reprises his role as Ki-hun in Squid Game Season 2. The article specifically discusses his character's arc, personal life, and motivations heading into the new season, making him a crucial element of the piece's content.",,Lee Jung-jae Returns to Hell in 'Squid Game' Season 2,"Golden Globe-nominated Lee Jung-jae reprises his role as Ki-hun, a haunted survivor seeking vengeance in Netflix's most anticipated series of 2024.",Acting,Drama/Series,"The article discusses Lee Jung-jae's return to his role as Ki-hun in the second season of Netflix's ""Squid Game"" series, which is a television drama production. The focus is on his acting role reprisal in an upcoming OTT series."
https://www.koreaherald.com/article/10016813,Shares linked to Lee Jung-jae soar following 'Squid Game' Golden Globe nomination,2024-12-10,https://wimg.heraldcorp.com/content/default/2024/12/10/20241210050094_0.jpg?type=h&h=240,"Shares linked with South Korean actor Lee Jung-jae are soaring after the announcement that ""Squid Game 2"" has been nominated for Best Television Series at the Golden Globes, ahead of its release.
As of Wednesday, shares of Artist United— Lee's agency in which he is the largest shareholder with a 23.49 percent stake -- closed at 13,320 won ($9) per share, marking a 29.25 percent increase from the previous day.
Meanwhile, shares of Artist Studio, the Korean drama production company behind titles like ""Maestra"" (2023) and ""Reborn Rich"" (2022), rose by 29.95 percent to close at 15,490 won per share. Artist Studio’s management rights were recently acquired by Lee.
Share prices of these two companies dropped following news last Friday of financial authorities' investigations into allegations of insider trading and stock price manipulation.
In December of last year, Lee and actor Jung Woo-sung became the largest shareholders of Wider Planet (now renamed Artist United) after acquiring 45 percent and 9 percent of the shares in the company, respectively.
The financial investigations followed reports suggesting that certain groups had prior knowledge of Lee and Jung’s acquisition of the company.
After buying stocks at a low price, these groups allegedly manipulated the market by promoting the company's stocks as ""Han Dong-hoon theme stocks"" to make a profit.
""Han Dong-hoon theme stocks"" refer to stocks that are in some way related to People Power Party leader Han Dong-hoon. The ""Han Dong-hoon theme stocks"" have reportedly seen dramatic increases in value after President Yoon Suk Yeol’s unexpected declaration of martial law on Dec. 3. Shares of Artist United and Artist Studio were dubbed ""Han Dong-hoon theme stocks"" following the revelation that Lee and People Power Party leader Han Dong-hoon were high school classmates.
Following the news of the investigation, Artist United issued a statement Friday clarifying that while Wider Planet (now Artist United) was previously investigated by financial authorities, the company and Lee Jung-jae are not currently subjects of any investigation.
It added Lee was not involved in any illegal activities, such as insider trading or information leaks, during the third-party capital increase in Wider Planet.",leejungjae,5.0,"The article is highly relevant to Lee Jung-jae as it directly discusses his business interests, stock holdings, and financial dealings. It details his 23.49% stake in Artist United, his acquisition of Artist Studio, and addresses investigations related to his business activities. The article also connects his professional success (Squid Game) to market movements of companies he's involved with.",,Lee Jung-jae's Stock Fortune Soars as 'Squid Game 2' Grabs Golden Globe Nod,"Despite recent insider trading investigations, Lee Jung-jae's entertainment companies see shares surge nearly 30% following award nomination",Social,Company/representation,"The article primarily focuses on Lee Jung-jae's business interests and stock market performance of his entertainment companies, triggered by a Golden Globe nomination. While there's mention of an award nomination, the main focus is on the financial/business impact rather than the artistic achievement."
https://www.koreaherald.com/article/10016784,"'Squid Game' nominated for Golden Globes, even before release",2024-12-10,https://wimg.heraldcorp.com/content/default/2024/12/10/20241210050048_0.jpg?type=h&h=240,"The second season of ""Squid Game"" has been nominated for best TV series by the prestigious Golden Globes, even before its release.
The 2025 Golden Globes, to be held Jan. 5, 2025, required submissions by Nov. 4 for shows that premiered within the 2024 calendar year. With its Dec. 26 premiere, the second season of ""Squid Game"" narrowly qualified, with Netflix reportedly submitting the series early for consideration.
In the best TV drama series category, for which the show was nominated, ""Squid Game"" competes against FX and Hulu's ""Shogun,"" which made Emmy history by winning 18 categories at the 76th Primetime Emmy Awards and 76th Primetime Creative Arts Emmy Awards early this year. Other nominees in the category include Netflix's ""The Diplomat,"" Apple TV+'s ""Slow Horses,"" Amazon Prime Video's ""Mr. and Mrs. Smith"" and Peacock's ""Day of the Jackal.""
While it is not unusual for the Golden Globes to nominate projects that have not yet been publicly released, The Hollywood Reporter pointed out, ""The Globes nominating a title not yet released mostly occurs with movies rather than TV series.""
Netflix dominated nominations at this year's Golden Globes, with 13 films and 23 series in the running.
Individually, French musical crime film ""Emilia Perez,"" starring Selena Gomez, led the pack with 10 nominations, the highest across both film and TV. On the film side, historical drama ""The Brutalist"" trailed with seven nominations, while for television comedy-drama ""The Bear"" followed with five nominations.
The first season of ""Squid Game,"" which premiered in September 2021, was also nominated for best TV series at the 2022 Golden Globes, ultimately losing out to HBO's ""Succession.""
Lee Jung-jae was nominated for best actor in a TV series, while O Yeong-su won best supporting actor in a TV series. O’s win marked the first time a Korean actor received the award in the category.",leejungjae,4.0,"The article is quite relevant to Lee Jung-jae as it discusses ""Squid Game,"" the series that brought him international fame, and specifically mentions his Golden Globe nomination for best actor in a TV series for the first season. However, it doesn't focus extensively on him personally or discuss his role in the second season, which prevents it from being a perfect 5 in relevance.",,'Squid Game' Season 2 Makes Golden Globe History Before Lee Jung-jae's Return,"Lee Jung-jae's highly anticipated Netflix series earns rare pre-release nomination, competing against Emmy favorite 'Shogun' for Best TV Drama",Acting,Film/TV/drama Awards,"The article discusses Lee Jung-jae's Netflix series ""Squid Game"" receiving a historic Golden Globe nomination before its second season release, focusing on awards recognition in the television industry and its competition in the Best TV Drama category."
https://www.koreaherald.com/article/10011781,"'Squid Game 2' main trailer shows unseen footage, new game venue",2024-11-27,https://wimg.heraldcorp.com/content/default/2024/11/27/20241127050031_0.jpg?type=h&h=240,"With just a month to go until the highly anticipated release of Netflix's ""Squid Game 2,"" a stunning new game venue has been revealed -- an unexpected yet striking addition to the show’s roster of deadly arenas: a Ferris wheel. On Wednesday, Netflix unveiled the main trailer for ""Squid Game 2"" on its official YouTube channel. The 108-second video showcases never-before-seen footage, including a haunting glimpse of the Ferris wheel, which is seen bloodstained, as contestants scramble desperately to survive. The trailer begins with new characters receiving invitations marked with the game's iconic circle, triangle and square symbols. Ki-hun (Lee Jung-jae), the protagonist of the first season and the sole survivor of the 33rd Squid Game, appears in a mysterious limousine, where he encounters the ominous voice of the Front Man (Lee Byung-hun). Declaring, ""Put me back in the game,"" Ki-hun voluntarily returns to the brutal competition he barely escaped last time. The conflict intensifies as Ki-hun boldly declares, ""I'm trying to put an end to this game,"" putting him at odds with the Front Man, who counters ominously, ""The game will not end unless the world changes."" Their clash of ideologies hints at a gripping confrontation between them. The trailer also features new scenes, including new cast members Im Si-wan and Park Gyu-young receiving their invitations, and Ki-hun rallying participants to rebel against the creators of the death games. Familiar horrors return as well, including the chilling Young-hee doll, which ruthlessly eliminates contestants who dare to move during the notorious motion-sensing game. Anticipation for the sequel has been further stoked by revelations from the teaser released on Sept. 20. Slowing the teaser to 0.25x speed, Front Man, played by Lee Byung-hun, could be spotted disguised in the same uniform as the other participants and blending in within the dormitory. ""Squid Game 2"" is set to premiere on Dec. 26 on Netflix and will be accompanied by a series of promotional events. They will include a press conference and a world premiere event at Seoul’s Dongdaemun Design Plaza on Dec. 9. According to Netflix, the world premiere event includes a photo session, a performance by dance crew One Million and a fan event where attendees can watch the first episode.",leejungjae,5.0,"The article is highly relevant to Lee Jung-jae as he reprises his lead role as Ki-hun in ""Squid Game 2."" The article specifically discusses his character's central role in the new season, including direct quotes from his character and details about his motivation to return to the game to end it. His conflict with the Front Man is highlighted as a major plot point in the upcoming season.",,Lee Jung-jae Returns to Hell in Blood-Stained Ferris Wheel Horror,"In Netflix's ""Squid Game 2"" trailer, Lee Jung-jae's character Ki-hun vows to destroy the deadly games from within as new terrors await.",Acting,OTT,"The article discusses Lee Jung-jae's return in the second season of Netflix's ""Squid Game"" series, focusing on his character Ki-hun's role in the upcoming streaming content on the OTT platform Netflix."
https://www.koreaherald.com/article/3844374,[What to Watch] Three classic Korean fall films you should watch this month,2024-11-09,https://wimg.heraldcorp.com/content/default/2024/11/07/20241107050844_0.jpg?type=h&h=240,"As the leaves start to turn red and yellow and a chill hits the air, it is about time to curl up with a cozy blanket, a warm beverage and a classic novel, or better yet, a classic autumn film. While early fall may have been more focused on spooky movies, November is the perfect time to enjoy iconic films featuring first loves, farewells and fateful desires. The Korea Herald has picked three must-watch, classic fall films for you to try this month. “Il Mare” (2000) Directed by Lee Hyun-seung, the title directly translates into “the sea” in Italian, a nod to the setting of the story — a seaside house. Architect Sung-hyun (Lee Jung-Jae) moves into the seaside home that his estranged father built. One day, he discovers a letter in his mailbox, which was sent by a young woman who seems to be writing from a different time. More letters arrive and in those letters her predictions are accurate — she warns about a flurry of snow on a certain day in January of 1998. At the same time, Eun-joo (Gianna Jun), now convinced that her letters have traveled back in time to December of 1997, starts writing regularly to Sung-hyun. As the two protagonists live in the same house two years apart in time, but able to communicate through a mysterious mailbox, the movie reveals the fate and heartbreak of the star-crossed lovers. “One Fine Spring Day” (2001) Though the title includes the season of spring, the mood of the movie is closer to a crisp fall day. Director Hur Jin-ho’s depiction of a seemingly flat plot line -- a sound engineer falls in love with a radio show host after they work on a project together -- is beautifully expressed on the big screen. His sincere observation of what love is elevates the somewhat predictable story. Understated and calm yet captivating, the subtlety of the film is maximized through such realistic yet dreamy lines as “Do you want to come in for ramyeon?"" and “How can love change?” “Late Autumn” (2010) “Late Autumn,” the fourth remake of Korean auteur Lee Man-hee's melodrama classic under the same title, stars Tang Wei as Anna, a prisoner who is given a 72-hour parole to visit family in Seattle. There, she meets and befriends a South Korean man on-the-run named Hoon (Hyun Bin). Throughout its depiction of poignant and genuine aspects of love and life, the movie weaves in subtle nuances of different cultures -- a result of the co-production between South Korea, China and the US. Helmed by Kim Tae-yong, “Late Autumn” is not a typical Korean romance, but rather a rapture of emotions of unexpected romance between two strangers who meet in a third country. Director Kim’s sympathetic characterization is evident deep within the souls of Anna and Hoon and their search for love.",leejungjae,4.0,"The article directly features Lee Jung-jae as one of the main actors in ""Il Mare"" (2000), where he plays the architect Sung-hyun. The article provides specific details about his character and role in this romantic film, though it's just one of three films discussed and Lee Jung-jae isn't the primary focus of the overall article.",,Lee Jung-jae's Time-Bending Romance Became a Korean Cinema Classic,"Before Squid Game fame, Lee Jung-jae starred in ""Il Mare,"" a beloved 2000 film about love letters that transcend time",Acting,Film,"The article discusses Lee Jung-jae's role in the 2000 Korean film ""Il Mare,"" highlighting his work in cinema before his ""Squid Game"" fame. The focus is specifically on his acting performance in a classic Korean movie."
