title,url,date,content,thumbnail,celebrity
Speak or not to speak? K-pop stars face dilemma amid national crisis,https://www.koreaherald.com/article/10016786,2024.12.10 15:17,"After the shocking but brief martial law declared by President Yoon Suk Yeol on Dec. 3, several celebrities, including K-pop singers, have voiced — or at least hinted at — their stance on the ongoing political crisis. Speaking out on political matters has long been a taboo for idols, whose freedom of expression is often tightly controlled by their agencies. However, with the rise of social media and the globalization of K-pop, the question emerges: Should K-pop singers be restricted from sharing their opinions on politics and social issues? Trot singer Lim Young-woong, who is not a K-pop idol, found himself in hot water for an alleged exchange with an internet user regarding the impeachment of Yoon. Lim had posted a picture with his dog on social media, celebrating the pet’s birthday on the day the National Assembly voted on the impeachment motion. When a netizen criticized him for being “insensitive” during a national crisis, Lim reportedly responded, “Am I a politician? Why should I speak up?” However, his agency could not confirm whether the account in question belonged to Lim. In contrast, K-pop singer Lee Chae-yeon, a former member of the girl group IZ*ONE, expressed her views more openly on Saturday. While discussing the anti-Yoon protests held in Seoul on a fan communication platform, Lee challenged the notion that idols should stay apolitical. “Not in a position to talk about politics? Then what exactly is the ‘right’ position to talk about it?” she wrote. “As a citizen and a member of society, I’ll decide for myself when and what to speak up about. I’m using my voice because I’m an entertainer.” Lee’s remarks were widely praised for their courage, in stark contrast to criticisms against Lim for staying silent. Cha Eun-woo of the boy band Astro also became a target of online backlash after posting fashion shoot photos on Saturday. Some netizens attacked him for being tone-deaf during the country’s political turmoil, leaving comments such as, “Is this appropriate given the current state of the country?” and “Be more aware; don’t you watch the news?” Others defended Cha, arguing that sharing personal content on social media is an individual choice and that such criticisms were unwarranted. Industry insiders suggest that K-pop singers face significant risks when engaging in political discourse and that staying apolitical may be the safest route. “When artists engage in political or national issues, while they certainly have the freedom to express their opinions, they must also consider that their business relies heavily on communication with fans,” said a K-pop agency official, who requested anonymity. “There is no need for them to publicly align with a specific political stance.” Stephanie Choi, a postdoctoral researcher at the State University of New York at Buffalo, echoed this sentiment, emphasizing that K-pop singers often have more to lose than to gain by speaking out. “Fans often support celebrities in the hopes of reflecting and amplifying their own political stances. However, remaining silent or inactive can also be interpreted as a form of political action,” Choi told The Korea Herald on Tuesday. “Celebrities will always be under public scrutiny regarding their political views.” Choi added that K-pop singers face additional challenges compared to their American counterparts due to differences in market size. “Despite K-pop’s global popularity, the market remains relatively small compared to, for instance, the US music market. This limits the freedom Korean celebrities have to openly align with a particular political stance and cultivate a niche following within a broad global audience,” Choi said. “It is safer for them to remain apolitical to maintain their broadest fanbase.”",https://wimg.heraldcorp.com/content/default/2024/12/10/20241210050051_0.jpg?type=h&h=240,chaeunwoo
[Graphic News] Ronaldo tops 2024 Instagram earnings list,https://www.koreaherald.com/article/10399372,2024.09.30 08:00,"Soccer star Cristiano Ronaldo has been named the highest-paid celebrity on Instagram, according to a survey by British data analyst Hopper HQ. Ronaldo can earn up to $3.43 million per post. Following closely behind is Lionel Messi, while Selena Gomez, Kylie Jenner and Dwayne Johnson round out the top five. Hopper HQ reveals how much your favorite celebrities are earning from sponsored posts this year, using internal data, agency rates and publicly available information. Notably, all four members of Blackpink made the list, with Lisa ranking the highest at No. 29, followed by Jennie (No. 36), Jisoo (No. 40) and Rose (No. 42). BTS members Jin and RM also secured spots at No. 68 and No. 71, respectively, along with Cha Eun-woo (No. 72) and actor Lee Min-ho (No. 88).",https://wimg.heraldcorp.com/content/default/2024/09/29/20240929050184_0.gif?type=h&h=240,chaeunwoo
[Grace Kao] Webtoons in college classrooms,https://www.koreaherald.com/article/3438738,2024.07.23 05:34,"While TV dramas may portray college classes with assigned readings, essays and tests, the truth is that professors also must adapt to technological shifts, especially in terms of media consumption. Webtoons are an important medium through which the Korean Wave flows. For those of you who are unfamiliar, webtoons are vertical “scrolling comics” built for viewing on a cellphone. They originated from and were developed in Korea. They enjoy a large fan base. For some people outside Korea, this serves as their primary gateway to understanding the country. Webtoons are also big business. On June 27, 2024, Webtoon Entertainment (backed by Naver) offered its initial public offering, WBTN, on the US NASDAQ exchange at $21 per share, raising $315 million, and valuing the total market cap of the company at $2.9 billion. Their annual revenue is $1.3 billion, and they boast 170 million active monthly users. A total of 900 titles have been adapted to streaming series, films, books and games. Of course Webtoon Entertainment is not the only company that allows artists to publish in this medium, but it is the largest and the one with which I am most familiar. In my class on Hallyu, I cover materials on K-pop, K-dramas and webtoons. Still, it was not clear to me how to incorporate it in my class. Through a contact from a Yale alumna, I reached out to the folks at Naver Webtoon in the US. Kirsten Pointer, the University Programs Specialist at Webtoon, organized a zoom visit with three of her colleagues that work on localization. Localization is the process through which webtoons created in one language (say, Korean) are not only translated but also made intelligible to a foreign audience in another language (for example, English). Of course, these professionals do not want to lose the essence of what is Korean about them -- as in K-pop, audiences are attracted to the “Koreanness” of the cultural product. It might mean that they maintain Korean names, but when puns are Korean-specific historical references, they can add footnotes and use a concept familiar to American audiences (when translating from Korean to English). This group was all US-based. Of course, there are now non-Korean webtoon creators. The extent to which their work will be localized for Korean audiences will be interesting to watch. I wonder if there’s an interest in non-Korean webtoons in Korea. In my class, homework assignments earlier in the semester included not only readings, but approximately five hours of K-dramas per week. The entire class watched “Itaewon Class,” but I also divided the class into teams, where they watched other dramas. By the time we reached the unit on Webtoons, we all read “All of Us are Dead” (a webtoon and K-drama about zombies in high school, which provided commentary on socioeconomic status, friendship and interfamilial relationships). We talked a bit about the similarities and differences between consuming webtoons versus dramas. We also talked about series such as “My ID is Gangnam Beauty” which was adapted into a K-drama and starred Cha Eun-woo, an idol from the group Astro. For some of my students, webtoons were more compatible with their busy lives -- they could easily read an episode or two between classes or when going to bed. I imagine that people in Korea can easily read them on the subway. Of course, Wi-Fi in Korea is generally far superior to that in the US. This summer when I visited Korea, Webtoon Entertainment in Seoul gave Lee Won-seok (formerly at Washington University in St. Louis and now at Yale) and me a tour of its large and sleek facilities. Our visit was led by Yesul (Ashley) Kim and Choi Woung-bi, both of the Strategy and Growth Team. We learned about how artists produce webtoons and the titles that have been most successfully adapted to K-dramas on Netflix. We spoke to dozens of people at the company where we exchanged ideas about their products and we talked about what our students liked and disliked. I found the staff at Webtoon in Korea to be very curious about American audiences. Often, the trait of the US that is most difficult for me to convey to Korean professionals (both at Webtoon and in the K-pop industry) is polarization in terms of race, class and political affiliations that affects all aspects of life in the US. This atmosphere has implications for the consumption of and interest in the Korean Wave. In my classes, those who are most interested in the Korean Wave are students of color (Asian, Latinx and Black), women and self-identified LGBTQ+/queer students. In Korea, gender and age seem to be more important in accounting for differences in taste and attitudes. I teach my students that understanding a social phenomenon is more intuitive when you have a comparison. For instance, it’s easier to talk about Asian Americans when we describe how they are similar to and different from whites, Hispanics and African Americans. My visits to Korea have not just taught me about Korea, but also the characteristics and quirks of the United States. Grace Kao Grace Kao is an IBM professor of sociology and professor of ethnicity, race and migration at Yale University. The views expressed here are the writer’s own. -- Ed.",https://wimg.heraldcorp.com/content/default/2024/07/22/20240722050766_0.jpg?type=h&h=240,chaeunwoo
NewJeans appointed honorary ambassadors for 2024 Korea Tourism,https://www.koreaherald.com/article/3432900,2024.07.11 14:46,"K-pop sensation NewJeans officially embarked on their role as 2024 honorary tourism ambassadors at a ceremony held at the Grand Hyatt Seoul in central Seoul on Thursday. The ceremony was attended by Culture Minister Yu In-cho who appointed the five members at the event -- Danielle, Minji, Hanni, Haerin and Hyein -- as the ambassadors for Korea tourism and Visit Korea Year 2023-24 campaign. Group member Hyein could not attend the ceremony for health reasons. Taking up the ambassadorial role, the girl group is poised to participate in promotional activities at home and abroad, starting with the overseas advertising video “Korean’s Korea,” which was released Thursday morning. Expressing his gratitude to the group, Yu hoped more international travelers would visit South Korea and immerse themselves in the country’s nature, tradition and culture, highlighting its undeniable growth in soft power. “We are honored to become the honorary ambassadors for Korean tourism. We will gladly promote the unique charms of South Korea,” Minji said in the appointment ceremony. On their first day as honorary tourism ambassadors, NewJeans shared some must-try activities and experiences while visiting the country. “The beauty of 'hanok' (Korean traditional house) with the beautiful nature as the backdrop will present the tourist with an unforgettable memory,” said Haerin. Meanwhile, group member Hani excitedly added that tourists cannot say they have traveled to Korea without experiencing Korean food. “As summer weather arrives, I think the tourists can enjoy ‘samgyetang’ (Korean ginseng chicken soup) and ‘naengmyeon’ (cold noodles typically served in a broth made of beef),"" Hani said. “Korean tourism was described as dynamic and creative. There are many cities full of traditions and festivals that overseas travelers can enjoy, ranging from K-pop concerts to musical and esports events. We hope for the travelers to explore every corner of this country,” Yu said, expressing his wish that the newly appointed ambassadors may draw more travelers in the second half of this year. NewJeans join a high-profile cadre of previous ambassadors, including another K-pop sensation EXO, Premier League football star Son Heung-min, singer and actor Cha Eun-woo and more. NewJeans made history as the fastest non-Japanese act to headline Tokyo Dome after debuting in Japan with the album “Supernatural,” which went on to top various charts in Japan. In January, the band won Group of the Year at the 2024 Billboard Women in Music Awards, becoming the first K-pop female act to take home the honor.",https://wimg.heraldcorp.com/content/default/2024/07/11/20240711050564_0.jpg?type=h&h=240,chaeunwoo
Why Cha Eun-woo’s name keeps popping up in politics,https://www.koreaherald.com/article/3335685,2024.02.27 15:39,"Young politician Ahn Gwi-ryeong's choice of main opposition leader as her 'ideal type' over K-pop star draws attention Actor and K-pop singer Cha Eun-woo is undoubtedly one of the most popular Korean celebrities at the moment. It is no surprise that Cha has often generated buzz in the entertainment news section and among fans of Korean music and drama. But in recent days, his name was mentioned multiple times among a most unexpected group of people here: politicians. It started with the main opposition Democratic Party of Korea’s decision last week to nominate its deputy spokesperson Ahn Gwi-ryeong to run in the upcoming April 10 general election. The 35-year-old news anchor-turned-politician was tapped to run for Dobong-gu, which has long been a stronghold for the progressive bloc. Controversy began brewing when critics started to point out that she was widely perceived to be an aide and supporter of the party’s current leader, Lee Jae-myung. Some within the party, including former Dobong-gu district chief Lee Dong-jin, criticized what he saw was the party favoring pro-Lee members in the candidate selection process. It was then when YouTube footage of Ahn playing a game of “ideal type world cup,” which is a tournament-style game in which the guest chooses the ideal celebrity they would most like to date, on a Channel A talk show, went viral. In the game, Ahn eventually chooses the main opposition leader over Cha, which drew a jokingly annoyed reaction from the interviewers. The footage was forgotten until the rival and ruling People Power Party Interim Chair Han Dong-hoon decided to comment on it. “If there was a candidate in the People Power Party who told me I (looked better) than Cha Eun-woo then they would never be nominated,” he told reporters as he was entering the National Assembly on Monday. “It seems Lee’s Democratic Party has become a jungle, where only brownnosers who can pick Lee’s nose for him on his behalf and say that he looks better than Cha Eun-woo can survive,” he added, while recalling separate 2022 video footage of Democratic Party Rep. Park Chan-dae seemingly picking Lee’s nose for him. Ahn soon fired back at Han, saying that he was taking things too seriously. “It is not Han’s job to turn an entertainment variety show into a documentary or bad- mouth the main opposition party,” she told reporters a few hours later. “I hope he focuses on improving the livelihoods of the people rather than on such bickering,” she added. The issue gained further momentum on Tuesday, when Democratic Party Rep. Park Beom-kye addressed the matter in a radio interview, saying that Ahn should thank Han for throwing her into the spotlight ahead of the election. Cha’s agency Fantagio was unavailable for comment.",https://wimg.heraldcorp.com/content/default/2024/02/27/20240227050639_0.jpg?type=h&h=240,chaeunwoo
'Island' wins best original digital drama at Asian Television Awards,https://www.koreaherald.com/article/3303303,2024.01.14 17:04,"South Korean streaming service Tving said Sunday its original drama series ""Island"" notched an accolade at the 2023 Asian Television Awards, which honors production achievements in the Asian television industry annually. According to Tving, the first part of ""Island"" won the award for best original digital drama series at the 28th ATA held in Ho Chi Minh City in Vietnam. ""Island,"" helmed by star director Park Bae-jong, who is best known for the hit film ""Welcome to Dongmakgol,"" and starring renowned Korean actors such as Kim Nam-gil, Lee Da-hee and Cha Eun-woo, narrates the stories of characters who fight to protect the world against supernatural evils. The 12-part drama series is based on the hit webtoon of the same name, which was serialized on Naver Webtoon from May 2016 to February 2018. ""(The series) received critical acclaim for transforming (the webtoon) into a spectacular fantasy action drama series that took place in the beautiful Jeju Island,"" said an official from Tving via a press release. The first part of the drama series, which includes six episodes, was released on Tving on Dec. 30. Part two of the series, which includes the final six episodes, will be streamed on the platform starting Feb. 24. Since its release on Amazon Prime Video, the first part of ""Island"" became the first Korean title to enter the top 10 list on Amazon Prime Video in 63 countries as of Sunday, according to Tving. ""We are pleased to see that Tving's original content is consistently receiving recognition at prestigious global awards ceremonies,"" said a Tving official. ""Going beyond creating watchable and trendy contents, we aim to expand the value of the K-content platform by producing blockbuster-level original content that captures the attention of the global fandom.""",https://wimg.heraldcorp.com/content/default/2024/01/14/20240114000142_0.jpg?type=h&h=240,chaeunwoo
More webtoon-based series set to entertain TV drama fans,https://www.koreaherald.com/article/3232101,2023.10.11 16:52,"More popular webtoon series are being adapted into live-action TV dramas with the return of actors and idols Cha Eun-woo and Suzy to the small screen for their respective series this month. MBC premiered its new romance fantasy “A Good Day to Be a Dog” on Wednesday. The 14-part series is the broadcaster’s first ever Wednesday drama in its 62-year history. Adapted from the popular 2017 webtoon of the same title by Lee Hye, “A Good Day to Be a Dog” revolves around Hae-na (Park Gyu-young), a young woman with a curse -- after a kiss, she turns into a dog. The story develops as Hae-na turns into a dog after falling in love with Seo-won (Cha). Hae-na struggles to break the curse by getting a second kiss, as Seo-won is extremely afraid of dogs due to childhood trauma. “A Good Day to Be a Dog” ranked No. 1 on Naver Webtoon's Sunday webtoons charts from 2017 to 2019. The webtoon series has been enjoyed by global webtoon readers since being released in English, French, German, Japanese, Chinese, Spanish and Thai. The TV series will also be released on global streaming services Rakuten Viki and Viu. Meanwhile, Suzy is scheduled to make her Netflix debut with “Doona!” on Oct. 20. Netflix’s upcoming nine-part series was adapted from Min Songa’s 2019 romance webtoon “The Girl Downstairs,” which concluded in July 2022. The series is a romance featuring Won-jun (Yang Se-jong), a college student who happens to live upstairs from former celebrity Doona (Suzy). Though Won-jun tries not to be interested in Doona, he finds himself growing more curious about the life of the former K-pop star. “Doona!” is one of the most anticipated projects of this year, with the series helmed by “Crash Landing on You” director Lee Jung-hyo.",https://wimg.heraldcorp.com/content/default/2023/10/11/20231011000671_0.jpg?type=h&h=240,chaeunwoo
"Moonbin, Sanha of Astro make return as perfumers with 'Incense'",https://www.koreaherald.com/article/3034381,2023.01.04 18:04,"Moonbin and Sanha of K-pop band Astro released their third EP, ""Incense,"" on Wednesday, along with the music video for lead track ""Madness."" The two members conducted a press conference Wednesday afternoon ahead of the album's release. ""I'm excited and nervous. I'm also a little worried whether our fans will be satisfied, but we've really put in our everything so there is no regret,"" Sanha said during Wednesday's event. ""Incense"" marks the return of Moonbin and Sanha together 10 months after the release of their second EP, ""Refuge,"" in March. According to Moonbin, the new album continues the concept portrayed in the previous album. ""The concept is connected with that of our second EP. If we'd conveyed the message that we'll be a refuge, this time, we embodied the message that we wish to make everyone who listens to our music happy,"" Moonbin said. Fronting the album is ""Madness,"" an electronic dance music pop track infused with powerful bass sounds and big band elements, singing of intoxicating people with their charms, compared to their scents in the lyrics. The two musicians hope to have demonstrated their improved musical prowess on the new album. With ""Madness,"" Moonbin took part in writing the lyrics, while Sanha made his first attempt at rapping. ""I was worried whether my rapping was OK, and Moonbin told me I did great. There were challenges in recording, but it was a good experience,"" Sanha said. On the perfumer-inspired visual concepts and choreography, the two said they did not get inspiration from a particular piece of art but tried to make it natural. ""Before going to work I spray myself with perfume like a ritual, and I might have been inspired from that, out of the wish that people will feel like they could smell my perfume from our performance,"" Moonbin said. The album also includes their first-ever self-written tracks -- Sanha's ""Wish"" and Moonbin's ""Desire."" According to Sanha, ""Wish"" is devoted to Astro's fans, known collectively as Aroha. ""I wanted to express my gratitude for the love that I've received from fans until now,"" he said. ""There are lyrics that look back on some old memories. I recommend focusing on them while listening."" On penning lyrics for his song, Moonbin said, ""I try to write a lot and this really helped when I made the lyrics this time."" The album also includes the English song ""Perfumer"" and two more Korean songs: ""Chup Chup"" and ""Your Day."" Astro is a six-piece group that debuted in February 2016 under Fantagio. Moonbin and Sanha formed the first subunit of the group and released their first duet album, ""In-Out,"" in September 2020. They put out prerelease single ""Ghost Town"" in February before the second EP, ""Refuge,"" in expanding their musical career. This is the first Astro-related album since some of its members renewed their contracts with Fantagio last year. On Friday, the agency announced that Jinjin, Cha Eun-woo, Moonbin and Sanha had decided to extend their partnership with Fantagio. It added Rocky was still in negotiations with the company, while MJ, who is serving in the military, will make a decision after his service ends in November. Their third year into building chemistry together, the two artists said they feel more confident than ever. ""I think we were able to make our unit stage more professional with the experiences we've had from the full-group activity,"" Moonbin said, to which Sanha, Astro's youngest, piped in, ""We feel our energy is clicking ever more now. It empowered me when the other bandmates told me I've really improved."" With a few days remaining before the group's seventh anniversary, the two members expressed deep-felt gratitude to their fans. ""Our driving force is Aroha. They give us an unconditional love. We're only enjoying doing music and going on the stages, but they cheer for us, and this itself empowers us to continue,"" Sanha said. ""The members, of course, are also a big driving force.""",https://wimg.heraldcorp.com/content/default/2023/01/04/20230104000695_0.jpg?type=h&h=240,chaeunwoo
IU and actor Lee Jong-suk are dating: agency,https://www.koreaherald.com/article/3031895,2022.12.31 18:07,"Singer-actor IU, also known as Lee Ji-eun, and actor Lee Jong-suk are dating, according to their agencies on Saturday. “Lee Jong-suk and IU have recently progressed from close colleagues into a relationship,” said Lee’s agency, High Zium Studio in an official statement. IU’s agency EDAM Entertainment also confirmed, “Two of them have been close colleagues for a long time and have recently begun dating.” Lee won the grand prize for his role in the crime thriller “Big Mouth,” at MBC Drama Awards, which was held on Friday. In his acceptance speech, he said, “After completing my military service, I had a lot of worries and fears. But there was someone who helped set me in a good direction and have positive thoughts."" ""I would like to take this opportunity to say thank you for always being awesome. And that I have liked you for a very long time, and that I respect you.” Rumors sparked online that his acceptance speech was for someone whom he was in a romantic relationship with. Model-turned-actor Lee Jong-suk debuted in “Prosecutor Princess” (2010) and rose to stardom after starring in the coming-of-age drama “School 2013,” the fantasy legal series “I Hear Your Voice” (2013) and “Pinocchio” (2014). Recently he starred in the action film “Decibel” with Cha Eun-woo, Kim Rae-won and Lee Min-ki. Singer-actor IU, who made her debut as a singer in 2008, has established herself as an iconic female singer with her hit songs “Good Day,” “You and I” and “Palette.” Since the drama “Dream High” in 2011, the singer has starred in many hit series such as “The Producers” (2015), “My Mister” (2018) and “Hotel del Luna” (2019). Recently she starred in the Cannes-winning Korean drama film “Broker” directed by Hirokazu Kore-eda.",https://wimg.heraldcorp.com/content/default/2022/12/31/20221231000086_0.jpg?type=h&h=240,chaeunwoo
[Newsmaker] Owner of Chinese restaurant accused as front for ‘China’s secret police’ says allegations 'unjust',https://www.koreaherald.com/article/3031226,2022.12.29 17:02,"Korean authorities deny any knowledge of reported investigation The owner of a Chinese restaurant in southern Seoul on Thursday requested for police protection, denying media reports that it may be one of the overseas fronts for China’s secret police. Holding a press conference at his eatery Oriental Pearl Tower in Jamsil-dong, Songpa-gu, the owner, identified as Wang, called the allegations “unjust.” The man said there will be another press conference on Saturday for which reporters are required to pay to attend. “The (Oriental Pearl Tower) restaurant runs an authentic business, but the news report made it a topic of conversation,” Wang said. “There is a great interest related to this matter and many have applied to attend (the press conference), but due to safety concerns and limitations in space, we will only accept 100 reporters. For fairness, we will sell the tickets (for the press conference) at 30,000 won ($23) per person.” Citing an unnamed intelligence source, Chosun Ilbo reported last Friday that Korean authorities were looking into suspicions that Wang’s place may be a local front for China’s secret police. The report came after a Madrid-based nonprofit group called Safeguard Defenders announced in early December that China was running at least 102 “overseas police service centers” in 53 countries including South Korea to watch and silence critics of the Chinese Communist Party. Laura Harth, campaign director of Safeguard Defenders, told The Korea Herald that South Korean authorities have not yet contacted the nonprofit group for more information or cooperation. “Korean authorities have not yet reached out to Safeguard Defenders, but we are confident in our hope relevant Korean authorities will coordinate and exchange information with like-minded democratic partners around the world to ensure thorough investigations into China’s transnational repression and undue influence operations,” she said in an email interview. Aides to two senior legislators on the parliamentary intelligence committee -- Rep. Kwon Seong-dong of the People Power Party and Rep. Youn Kun-young of the Democratic Party -- told The Korea Herald they had no information regarding the reported investigation. Officials at Seoul's Foreign Ministry have told reporters there was nothing they can confirm. The Chinese Embassy in Seoul has strongly protested the accusation that it was running “secret police stations” in South Korea, calling on media outlets to stop “deliberately perpetuating groundless rumors.” A spokesperson for the Chinese Embassy said last Friday that China adheres to the principle of nonintervention in domestic affairs, strictly abides by international law and respects other countries' judicial sovereignty. The official added that Chinese security personnel and prosecutors have maintained a high level of cooperation with their South Korean counterparts by establishing close communication channels. In an earlier briefing, China's Foreign Ministry spokesperson flatly denied the existence of overseas police stations. Harth at Safeguard Defenders claims, however, that the group’s findings appear consistent with “repeated statements by China’s local public security authorities” that these “overseas police service centers” were set up in close cooperation with the United Front Work Department, a CCP organization that seeks to influence various public and private sector entities outside China, including but not limited to political, commercial and academic spheres. “The UFWD promotes efforts that align policies and activities with CCP interests, and seeks to divide and silence CCP critics. It is evident any probe starting from our report on the ‘overseas police service stations’ should encompass both the wider transnational repression issue as well as the other interference these networks are engaged in on behalf of the CCP -- including, but not limited to, the Confucius Institutes,” she said. China’s state-funded overseas culture and language education centers called Confucius Institutes have been closing down in Western countries as US and European authorities have concluded them as fronts for Chinese propaganda, surveillance of Chinese students abroad and collection of high-grade academic information. There are 23 Confucius Institutes in South Korea, 22 of which are within national or private universities. In regards to the recent allegations surrounding the Songpa-based Chinese restaurant, a rumor surfaced that South Korean talent agency Fantagio -- most well-known for managing singer and actor Cha Eun-woo -- was involved in its operation. The suspicion stems from the fact that a person reportedly involved with the operation of the restaurant had formerly been an outside director of the South Korean agency. Fantagio on Thursday released an official statement denying such suspicion. Wang said he ran Chinese restaurants in Garibong-dong, Seoul, and Bucheon in Gyeonggi Province before he expanded to travel, interior construction and media businesses. The restaurant on a floating island on the Han River is registered as a branch of “HG Culture Media,” the head office of which is on the ninth floor of a building on the street in front of the National Assembly in Yeoui-do. The restaurant, which has suffered some bad reviews on Naver, said it will operate only until the end of December, after the news report last week. Opened in 2018, the restaurant saw operating losses of 230 million won in 2018, and 686 million won in 2019. As of 2019, its outstanding debt (1.32 billion on) was more than double the value of its assets (559 million). By Kim So-hyun and Yoon Min-sik ()(",https://wimg.heraldcorp.com/content/default/2022/12/29/20221229000604_0.jpg?type=h&h=240,chaeunwoo
