title,url,date,content,thumbnail,celebrity
Korean Canadian singer faces lawsuit over alleged political activity as foreign national,https://www.koreaherald.com/article/10402132,2025.01.19 14:44,"Musician says freedom of speech being suppressed Korean Canadian singer JK Kim Dong-uk, also known as John Kim, said via social media on Saturday that his freedom of speech is being violated, after an internet user filed a lawsuit accusing him of engaging in political activities as a foreign national. Kim has openly supported President Yoon Suk Yeol, who was formally arrested Sunday in connection to his declaration of martial law last month, and has called for the withdrawal of his impeachment, both online and offline. Under the Immigration Control Act, foreign nationals residing in South Korea are prohibited from participating in political activities unless otherwise permitted by law. Violators may face orders from the Ministry of Justice to cease political activities or even deportation, though such actions are rare. “This is the first time in my life I’ve been accused,” Kim wrote on social media. “Did I hold a large-scale rally on Jan. 3? That must be a mistake.” Kim has posted a photo of himself attending a rally in opposition to Yoon's arrest in front of the presidential residence in Hannam-dong, Seoul, on Jan. 3. “I’m curious when South Korea, a free nation, became a country that suppresses freedom of expression,” he added. On Friday, an internet user revealed on social platform X that JK Kim Dong-uk is expected to be accused of violating the prohibition on political activities by foreigners. “JK Kim Dong-uk, who renounced his Korean citizenship and acquired Canadian citizenship, is considered a foreign national. According to Article 17 of the Immigration Control Act, foreigners residing in Korea are prohibited from engaging in political activities, and violation could result in penalties,” the online commenter said. The commenter alleged that Kim repeatedly posted opposition to Yoon’s impeachment on his social media and said that the singer organized a large rally near the presidential residence on Jan. 3, sharing related content online. Kim, who was born in Seoul, immigrated to Canada in 1992 during his sophomore year of college. While his music career is based in South Korea, his Canadian citizenship exempted him from mandatory military service and denies him voting rights in the country. The singer has emerged as one of the most vocal supporters of Yoon in the entertainment industry, alongside singer Kim Heung-gook and actor Choi Joon-yong. JK Kim Dong-uk has consistently criticized calls for Yoon’s impeachment, stating on social media, “The Democratic Party lacks democracy, the judiciary lacks justice, and intellectuals lack knowledge.” After an initial temporary arrest warrant was issued for Yoon on Wednesday, Kim wrote, “The will of patriotic citizens defending freedom within the framework of the law in a constitutional state will resonate worldwide, standing in stark contrast to the pro-North Korea forces who have lost reason and disregard the law.” The controversy has drawn attention to another celebrity, IU, who has come under fire from far-right internet users for what they say is her political involvement. Last month, IU, who is a Korean citizen, prepaid for food and drinks at coffee shops near Yeouido in Seoul, the site of impeachment rallies against Yoon following his Dec. 3 martial law declaration. The food was distributed to rally attendees on a first-come, first-served basis. IU’s social media accounts have since been flooded with both criticism and support from users who are divided over her actions.",https://wimg.heraldcorp.com/news/cms/2025/01/19/news-p.v1.20250119.7966075d0f764f85839b60592f64a614_T1.jpg?type=h&h=240,iu
Pro-Yoon protesters target court that issued arrest warrant for president,https://www.koreaherald.com/article/10401105,2025.01.17 11:04,"Supporters of President Yoon Suk Yeol are targeting Seoul Western District Court for issuing the warrant that enabled authorities to take Yoon into custody. The rallies that began Thursday night continued into Friday morning, with some forming a human blockade to stop the Corruption Investigation Office for High-ranking Officials from delivering the application for the new warrant. Yoon is being detained on a 48-hour detention warrant that expires at 9:05 p.m. Friday. The CIO is widely expected to request sometime before Friday's deadline a warrant that would authorize him to be held for up to 20 days. The pro-Yoon protests were initially held in front of the court, but have since relocated to a nearby court due to police orders. Police at around 11 p.m. Thursday took into custody a protester in his 20s for obstruction of the performance of official duties after he attempted to close the gate of the court. The Seoul Western District Court has been targeted by avid followers of Yoon, who became the first South Korean president while still in office to be arrested Wednesday, since it issued the warrant for the president's arrest. The 64-year-old president is being held at the Seoul Detention Center for criminal investigation regarding insurrection and abuse of power charges related to his Dec. 3 declaration of martial law and the allegedly illegal orders that followed. The defiant Yoon has said that both the CIO's probe into him and the warrant for his arrest were illegal, a claim that was shot down by the Seoul Central District Court on Thursday. But the court decision does not appear to have dissuaded his followers, who have been carrying out protests and online attacks against those supporting Yoon's impeachment or the investigation into him. On the heels of Yoon's arrest Wednesday, a number of apparent Yoon supporters flooded the comment section of popular singer IU's social media, berating her for supporting demonstrations that called for the impeachment of the conservative president. An unidentified user of the online platform DC Inside, many users of which have far-right views, posted Thursday that he would ""behead"" the judge who deliberated on the Seoul Central District Court's aforementioned court review on legality of Yoon's arrest.",https://wimg.heraldcorp.com/news/cms/2025/01/17/news-a.v1.20250117.74f7e5174ca84f20aba4211eb49fc785_T1.png?type=h&h=240,iu
Ha Jung-woo returns in series delving into property ownership and crime,https://www.koreaherald.com/article/10390922,2025.01.15 11:52,"Veteran actor tied to 'Building Owner,' 3 years after Netflix's 'Narco-Saints' Veteran actor Ha Jung-woo will star in a new series centered on crime and real estate, marking the actor's first dramatic role in three years, following Netflix’s sensational crime hit ""Narco-Saints."" Ha is set to headline thriller series ""Building Owner"" with Jung Soo-jung — better known by her stage name Krystal of the K-pop group f(x) — reportedly in talks to join him. Ha’s management agency, Walk House Company, confirmed the actor’s involvement, revealing he will portray Ki Soo-jong, a man who becomes a building owner under the weight of enormous debt. As financial pressures mount, Ki becomes involved in a kidnapping, as he desperately tries to safeguard both his family and his coveted property from ruin. ""Building Owner"" will be directed by Yim Pil-sung, known for his work on the anthology film series ""Persona,"" which featured IU, or Lee Ji-eun, in a multifaceted exploration of identity and artistry. Ha's previous series, ""Narco-Saints,"" amassed 128 million hours of viewing within its first 28 days and secured the top spot on Netflix’s global non-English series chart in the second week of its release. Before ""Narco-Saints,"" Ha, who rarely takes up series, starred in the 2007 crime drama series ""H.I.T."" on MBC. Looking ahead, Ha has a series of film releases coming up. Ha stars in ""Nocturnal,"" scheduled for release in cinemas on Feb. 5. Additionally, he both directed and stars in ""Lobby,"" a film centered on the backroom dealings of golf course negotiations, to hits theaters in April.",https://wimg.heraldcorp.com/news/cms/2025/01/15/news-p.v1.20250115.ce77f7421dd34f4890920dca7d5fd9c2_T1.jpg?type=h&h=240,iu
Huawei and IUCN Launch Tech4Nature Project to Protect Kenya's Coral Reefs,https://www.koreaherald.com/article/10387930,2025.01.10 18:20,"NAIROBI, Kenya, Jan. 10, 2025 /PRNewswire/ -- Huawei, International Union for Conservation of Nature (IUCN), and local partner Kenya Wildlife Service (KWS) have launched a Tech4Nature project to monitor and protect coral reef and biodiversity in Kenya's Kisite-Mpunguti Marine Park and Reserve. Aligned with Huawei's TECH4ALL initiative and the IUCN Green List, the objective of the three-year project is to strengthen monitoring and management efficacy of the protected area. Located on the southern coast of Kenya, Kisite-Mpunguti Marine Park and Reserve faces a number of nature conservation challenges. These include: ""Tech4Nature is an expansive project that falls under Huawei's digital inclusion initiative TECH4ALL, where we look at ways to implement technology and innovation in various sectors of our day today life and improving global standards and ensure that we have a sustainable way of life in the world,"" said Khadija Mohamed, Director of Media and Government Relations for Huawei Kenya. Underwater cameras, photogrammetry, and audio monitoring technologies will be deployed to monitor marine life, including the biomass and population of parrot fish. In many coral reef ecosystems, parrot fish are a keystone species that, due to their diet, help prevent coral from being smothered by seaweed and algae. The solution will also monitor substrate cover in the reef ecosystems, seagrass cover, and the occurrence of green turtles and bottlenose dolphins, which are classified on the IUCN Red List as endangered and vulnerable, respectively. ""The technology we are introducing is a groundbreaking development for marine conservation in Kenya. It will serve as the first monitoring tool for data collection, analysis, and management in a marine protected area. Additionally, this innovation presents an opportunity to assist the park in attaining IUCN Green List certification, aligning with the sustainability goals valued by tourists and ensuring that future generations can continue to benefit from our marine parks,"" said Innocent Kabenga, Country Representative for the IUCN Kenya Country Office. AI trained to recognize specific target species by sight or sound will provide real-time data-driven insights into the behaviors, populations, and distribution of biodiversity in the reserve and reef ecosystem. The system will also be able to identify boats used for illegal fishing, and send alerts for rangers to intervene in near real time. A digital power solution and improved network connectivity covering the park and watch tower will enable the rapid transmission of collected data to a cloud server for analysis by AI. The project will be implemented in partnership with Kenya Wildlife Service (KWS) and Wildlife Research and Training Institute (WRTI). Based on the project's data-driven insights, the Tech4Nature partners will be able to develop targeted conservation measures for the reserve. ""For us to deliver our mandate of protecting and conserving our wildlife in both terrestrial and marine ecosystems, you have to understand your resources very well. We are partnering with Huawei and IUCN to deploy underwater cameras to acquire some data on marine mammal, corals, and fisheries to make informed decisions. The advantage of this technology it can be deployed in wider area that we couldn't patrol every single day to get data for day and night for us to make good, informed decisions,"" said Adan Kala, Senior Assistant Director, Coast Conservation Area, Kenya Wildlife Service. In addition, the project will include community outreach to raise awareness about biodiversity changes over time and the presence of different species, including those that are threatened, vulnerable, or endangered. The site will be assessed against the IUCN Green List Standard, with the goal being that the reserve obtains Green List certification. About Tech4Nature Huawei and IUCN launched the Tech4Nature global partnership in 2020 to scale up success in nature conservation through technological innovation. Aligned with Huawei's TECH4ALL initiative and the IUCN Green List, Tech4Nature has supported 11 flagship projects in 8 countries with tailored solutions to conservation challenges. Visit the Tech4Nature website: https://tech4nature.iucngreenlist.org/what-is-tech4nature/ About TECH4ALL TECH4ALL is Huawei's long-term digital inclusion initiative and action plan. Enabled by innovative technologies and partnerships, TECH4ALL is designed to enable inclusion and sustainability in the digital world. Visit the Huawei TECH4ALL website at https://www.huawei.com/en/tech4all Follow us on X at https://x.com/HUAWEI_TECH4ALL",https://wimg.heraldcorp.com/news/cms/2025/01/10/AEN2202501101820060581.8181a050d62f44749f07cb00be91db42_T1.jpg?type=h&h=240,iu
aespa rings in new year with grand prize at 39th Golden Disc Awards,https://www.koreaherald.com/article/10383063,2025.01.05 14:09,"Amid legal dispute with Ador, NewJeans bags two awards at the ceremony K-pop juggernaut aespa rang in the new year by taking home the grand prize at the 39th Golden Disc Awards, riding high on the success of its mega-hit ""Supernova."" The K-pop girl group won in the Digital Song Division category at the two-day event that started Saturday at the Mizuho PayPay Dome in Fukuoka, Japan. The Sunday ceremony awarded artists in the Album Division category. A live broadcast was canceled following acting President Choi Sang-mok's announcement of a weeklong national mourning through Saturday prompted by the Muan plane crash that claimed 179 lives. The prerecorded event will air Monday at midnight and Tuesday at 1:20 a.m. on JTBC. While 2024 was a year brimming with new sounds resonating across genres for K-pop, aespa clinched the ""Song of the Year"" award, achieving the feat three years after the quartet notched the rookie awards in 2022. ""Supernova,"" the lead track of the band's first LP ""Armageddon"" released on May 27, topped the Melon streaming chart for six weeks straight. In October, the band continued its success with the techno-inspired ""Whiplash,"" the main track of its fifth mini album. The ""Best Digital Song,"" also dubbed ""Bonsang,"" went to NewJeans, Day6, Bibi, Ive, IU, Illit, aespa, Taeyeon of Girls' Generation, TWS and (G)I-dle. The ""Rookie Artist"" award went to girl group Illit and boy band TWS, who took the music scene by storm with their debut songs ""Magnetic"" and ""Plot Twist,"" respectively. Le Sserafim and the virtual five-member group Plave took home the ""Most Popular Artist"" award, which was voted by fans. Also, NewJeans and Le Sserafim each bagged the ""Cosmopolitan Artist"" award and ""Best Group award, respectively, while Day 6 won the ""Best Band"" award. Kiss of Life won the ""Next Generation"" award, given to rising stars. The group debuted in July 2023 and quickly solidified its presence in the music world among the fifth generation of K-pop with its ear-catching songs, including ""Sticky,"" released in July last year. Crush's ballad ""Love You With All My Heart,"" a soundtrack for tvN's ""Queen of Tears starring Kim Soo-hyun and Kim Ji-won, received the ""Best OST"" award. The ""Golden Honorable Choice"" award went to the late singer Shin Hae-chul.",https://wimg.heraldcorp.com/news/cms/2025/01/05/news-p.v1.20250105.10ec6c9e694244deae1f91bfe1172b36_T1.jpg?type=h&h=240,iu
Lim Young-woong tops 'K-Brand Index' amid controversy,https://www.koreaherald.com/article/10380452,2024.12.31 16:07,"Lim solidifies his position as a representative artist of Korea Trot singer Lim Young-woong has been named the top artist in the K-Brand Index for 2024, according to the Asia Brand Research Institute on Monday. The K-Brand Index, a big data evaluation system developed by the institute, uses a panel of experts for verification, from extracting candidate samples to selecting indices, ensuring reliability. This year’s artist category was determined by analyzing 5.64 billion online data points collected from Jan. 1 to Nov. 30. The evaluation included the top 30 solo artists and K-pop groups based on search volume from major portal sites. Lim secured first place in the rankings, followed by another trot singer Lee Chan-won in second, IU in third, Rose of Blackpink in fourth and Jang Won-young of Ive in fifth. Other notable mentions in the top 10 included Jennie of Blackpink, Jung Dong-won, Jimin of BTS, Ahn Yu-jin of Ive and Jungkook of BTS. The K-Brand Index calculates scores by integrating trends, media presence, social media activity, community engagement and sentiment analysis, excluding weight biases. ""The key issues in the music industry this year can be summarized as the 'establishment of trot as a central genre' and 'independent activities by idols,'"" Ryu Won-sun, the head of the research center at the Asia Brand Research Institute, said. “Trot is no longer a temporary craze but has become a foundation of the industry, while successful solo activities by BTS members Jimin and Jungkook, and Blackpink's Rose and Jennie, have reaffirmed K-pop's global presence."" Ryu also believed in Lim’s ability to uphold his reputation despite recent controversy surrounding his decision not to comment on President Yoon Suk Yeol’s declaration of martial law earlier this month. “Lim Young-woong has solidified his position as a representative artist of Korea, transcending his image as a ‘natural generator of good deeds’ to form a global fandom. This was achieved despite unexpected social controversies, reflecting his unique appeal and influence,"" Ryu added. The rankings were based solely on online data indices, with offline metrics not accounted for, according to the institute.",https://wimg.heraldcorp.com/news/cms/2025/01/02/news-a.v1.20250102.4bf4cfb5293848c9aa12d90d87887168_T1.png?type=h&h=240,iu
[What to play] Warm up your winter with tender melodies,https://www.koreaherald.com/article/10032214,2024.12.28 16:00,"As sidewalks freeze over, tree branches grow bare, and delicate snowflakes drift through the air, winter's chill is here. Embrace the season by enjoying winter-themed songs that capture its quiet beauty while offering warmth through heartfelt melodies and lyrics. ""The Snowman"" by Jung Seung-hwan One of Korea's most beloved young ballad singers, Jung Seung-hwan, evokes images of a snow-covered landscape with the fairytale-like melody of “The Snowman.” Released on Feb. 19, 2018, as a pre-release track from his first full-length album “And Spring,” the song's music video features the serene snowy scenery of Hokkaido, Japan. Beginning with the gentle sound of bells and an acoustic guitar, the song builds layers of piano, electric guitar and synth, blending harmoniously with Jung's deeply emotional vocals. The poetic lyrics, from the perspective of a snowman watching the passing seasons, were written by IU. The sincere wish for another's happiness leaves a lasting impression: “Even if it takes time, please be sure to find happiness.” ""Walking in the Winter"" by Yun DDanDDan Singer-songwriter Yun DDanDDan, known for his clear, tender voice and relatable lyrics, captured the season's cold yet refreshing air in “Walking in the Winter.” ""Walking in the Winter"" is a B-side track from the singer's debut album “Fifty-Fifty,” released in 2014. This song's bittersweet lyrics about longing and regret for a past love contrast interestingly with its cheerful melodies and bright guitar. The lyrics vividly capture the narrator's raw emotions as he walks through the cold winter streets, reminiscing about a lost relationship. To celebrate the song's 10th anniversary, Yun recently went back to the original filming locations of the music video and recreated the shots for social media. ""Snowball"" by Bol4 Known for the purity of her voice, singer-songwriter Bol4, also known as Ahn Ji-young, captures the cozy atmosphere of winter in her song “Snowball.” Released on Dec. 12, 2023, as one of the two main tracks on the album “Merry Go Round,” the song was written and composed by Ahn herself. While Bol4 has often sung about the warmth and freshness of spring and summer, “Snowball” marks her first winter-themed song. The music video beautifully showcases the snowy landscapes of Sapporo, Japan. Introducing the song, Ahn explained, “I hate using clear themes like seasons, weather and places in vague, ambiguous ways. That’s why it took a lot of courage for me to take on 'winter' this time,” emphasizing the song's significance and the warmth it exudes.",https://wimg.heraldcorp.com/news/cms/2024/12/27/news-p.v1.20241224.0ab1d9d757124482b6d2cd1d0580d938_T1.jpg?type=h&h=240,iu
Fake news about US banning anti-Yoon ralliers resurfaces online,https://www.koreaherald.com/article/10021683,2024.12.23 17:38,"False rumors and unconfirmed reports are spreading online about the US government’s supposed crackdown on anyone who has openly criticized the now-impeached President Yoon Suk Yeol. Online communities, particularly those frequently by far-right supporters of the besieged leader, are sharing a debunked fake news report from 2018 about the US Central Intelligence Agency’s plans to permanently ban from entry anyone who has been reported to be anti-American or participated in an anti-American protest. It also claimed that those reported to be anti-American will also be banned from sending their children to the US for education. The US Embassy in Korea at the time confirmed the report to be false, telling local broadcaster JTBC it was ""not worth responding to."" Curiously, this debunked fake news story has resurfaced in Korea, amid the tumultuous events following Yoon’s ill-fated declaration of martial law on Dec. 3 and his subsequent impeachment. This has polarized public opinion into two camps: a majority condemning Yoon and a minority going all out to defend him. Yoon is currently undergoing a criminal investigation on charges of insurrection and abuse of power while also being subject to an impeachment trial. He declared martial law on Dec. 3 and is suspected of ordering the arrest of prominent political figures and civilians, many of whom have publicly spoken against him. On the diplomatic front, Yoon, a conservative, has maintained a pro-American stance and supports friendly ties with Japan. His supporters often accuse opponents of being anti-American and pro-North Korean. Some online platforms with far-right political views have also been publishing unconfirmed claims about supposed actions by the US government. For instance, a website known for unsourced and unverified far-right conspiracy theories recently claimed that Washington has issued a warning against ""leftwing professors who thoughtlessly expressed political views and decried the political situation without context,"" in a clear reference to scholars who openly condemned Yoon’s martial law imposition. The claim cites no statements sources from the Korean or US governments, but instead references anonymous comments on local online communities. The website's unverified claims also include the supposed rigging of parliamentary elections, which was alleged by the president but dismissed by a police investigation as baseless. In the aftermath of the anti-Yoon protests, several members of online communities with pro-conservative political inclinations were found to be encouraging each other to report celebrities like IU to the CIA. The celebrities in question had publicly expressed support for demonstrations against Yoon. They claimed that just reporting the celebrities to the CIA as spies would lead to a criminal investigation, which would hinder them from activities in the US or even entering the country. A person claiming to be a supporter of the president's People Power Party said he or she has filed a similar report against Daegu Mayor Hong Joon-pyo, citing exhaustion with Hong's talk about an early presidential election in case Yoon's impeachment is confirmed and he is removed from office. The CIA collects and analyzes foreign intelligence and conducts covert actions, but is not the government body authorized to grant entry to the US. According to the US government, the Department of Homeland Security and officials with the US Customs and Border Protection agency at the port-of-entry have the authority to permit entry into the US. The US State Department can impose visa restrictions on individuals under Section 212 (a)(3)(C) of the Immigration and National Act. The particular section of the law stipulates the possibility of visa restrictions on numerous grounds, such as involvement in the misuse of commercial hardware to target or unlawfully surveil, harass, suppress or intimidate individuals, but expressing one's political inclination is not among them.",https://wimg.heraldcorp.com/news/cms/2024/12/23/news-p.v1.20241223.be246a2a1a17461192eadd1c587d3c99_T1.jpg?type=h&h=240,iu
"Yoo Jae-suk, IU top Gen Z picks for ideal leaders",https://www.koreaherald.com/article/10021630,2024.12.23 17:06,"An online poll asked young Korean job seekers to select one person of each gender whom they believe embodies the qualities of an ideal leader. The top choices were TV personality Yoo Jae-suk and K-pop singer IU. Among the male celebrities considered, Yoo Jae-suk received 23 percent support from the surveyed 2,507 job seekers belonging to Generation Z, defined for this purpose as those born between 1997 and 2006. In the female leader category, IU emerged as the top choice, garnering 21 percent, according to the survey conducted by online recruiting firm Catch. For Both Yoo and IU, their thoughtfulness and kindness were cited as key reasons for their selection. Male entertainer Dex received 18 percent of the vote, with respondents giving his empathy and kindness as significant attributes. Female dancer Gabee earned 19 percent of the vote to rank as the second most popular leader after IU. In response to the poll results, Kim Jeong-hyun, a director at Catch, said, ""Gen Z views communication and kindness as critical traits in a leader. This is why public figures like Yoo Jae-suk and IU, who inspire trust and respect, resonate strongly with them.”",https://wimg.heraldcorp.com/news/cms/2024/12/23/news-p.v1.20241223.426aa5db8671431aa9d58365c79849a4_T1.jpg?type=h&h=240,iu
"Ripple effects of Yoon Suk Yeol’s impeachment: Celebrities, businesses caught in crossfire",https://www.koreaherald.com/article/10020363,2024.12.20 17:16,"The political upheaval surrounding the impeachment of President Yoon Suk Yeol has extended beyond the National Assembly, targeting celebrities and businesses. Social media campaigns and boycotts have intensified, channeling public outrage in one of the world‘s most connected nations. Singer IU, a K-pop singer and actor, has become a target of criticism from opponents of Yoon’s impeachment. Her voluntary gesture of prepaying for food and hand warmers to support participants at a rally advocating for Yoon‘s impeachment has drawn significant criticism. Reports suggest that IU, along with other public figures, has been added to a “blacklist” allegedly compiled by Yoon’s supporters. The “Yoon Suk Yeol Impeachment Support List” began circulating online last week, including IU and other celebrities, such as girl group NewJeans, filmmaker Bong Joon-ho, comedian Park Myung-soo and actor Go Ah-sung. At the bottom of the image, it encourages reporting these individuals to the US Central Intelligence Agency, based on the spurious claim that being reported would prevent them from entering the United States. One online user even posted a screenshot claiming to have reported IU to the CIA, urging others to participate in a “verification relay” by submitting similar reports. The post, originally shared on the “People Power Party Gallery” of online forum DCInside, has since been deleted. Critics have dismissed the campaign as an embarrassing and absurd overreaction, with one commenter stating, “I don’t understand why people are resorting to such actions.” Additionally, calls for boycotts against companies associated with IU have intensified. Lists of brands she has endorsement deals with, including Woori Bank and Hite Jinro, are being shared online with suggestions to stop buying products or services from the businesses. On the other side, those supporting Yoon’s impeachment have launched a boycott against Purmil, a dairy company owned by the family of Rep. Yoon Sang-hyun’s wife. Yoon Sang-hyun, a vocal opponent of the impeachment motion, has faced significant backlash. Critics accuse him and his family’s company of being complicit in insurrection, aligning their boycott with their broader political grievances. Rep. Yoon, married to Shin Kyung-ah, a member of the family behind Purmil, has consistently opposed Yoon‘s impeachment. On the day of the vote, he reaffirmed his stance, stating, “We cannot hand over power to the reckless Democratic Party led by Lee Jae-myung.” His comments further fueled the campaign against Purmil. Observers note that South Korea’s tendency to channel public sentiment into collective action has been magnified by social media. What begins as localized outrage can quickly escalate into nationwide campaigns, often fueled by misinformation, as seen with the CIA reporting claims, they said. “Social media accelerates these dynamics,” said Choi Jong-ryul, a sociology professor at Keimyung University. “Outrage is no longer confined to political spheres -- it extends into cultural and economic realms, creating ripples that impact individuals and businesses alike.” As South Korea grapples with the ramifications of Yoon Suk Yeol’s impeachment, the controversy’s reach to celebrities and businesses underscores the pervasive nature of political division, he added.",https://wimg.heraldcorp.com/news/cms/2024/12/20/news-p.v1.20241220.7c77693f59dc402d8f7f89f0ce370f6d_T1.jpg?type=h&h=240,iu
