Name,Occupation,Type,Nationality
Ahn Bo-hyun,Actor,Individual,South Korean
Bae Doona,Actress,Individual,South Korean
Bae Suzy,Actress / Singer,Individual,South Korean
Bae Yong-joon,Actor,Individual,South Korean
Cha Seung-won,Actor,Individual,South Korean
Choi Daniel,Actor,Individual,South Korean
Choi Woo-shik,Actor,Individual,South Korean
Chun Woo-hee,Actress,Individual,South Korean
Claudia Kim,Actress,Individual,South Korean
Gong Yoo,Actor,Individual,South Korean
Go Min-si,Actress,Individual,South Korean
Han So-hee,Actress,Individual,South Korean
Ha Jung-woo,Actor / Director,Individual,South Korean
Hyun Bin,Actor,Individual,South Korean
Im Si-wan,Actor / Singer,Individual,South Korean
IU (Lee Ji-eun),Singer / Actress,Individual,South Korean
Jeon Do-yeon,Actress,Individual,South Korean
Ji Chang-wook,Actor,Individual,South Korean
Ju Ji-hoon,Actor,Individual,South Korean
Jung Woo-sung,Actor,Individual,South Korean
Jun Ji-hyun,Actress,Individual,South Korean
Kang Ha-neul,Actor,Individual,South Korean
Kim Hye-soo,Actress,Individual,South Korean
Kim Nam-gil,Actor,Individual,South Korean
Kim Soo-hyun,Actor,Individual,South Korean
Kim Woo-bin,Actor,Individual,South Korean
Koo Kyo-hwan,Actor / Director,Individual,South Korean
Kwon Sang-woo,Actor,Individual,South Korean
Lee Byung-hun,Actor,Individual,South Korean
Lee Dong-wook,Actor,Individual,South Korean
Lee Je-hoon,Actor,Individual,South Korean
Lee Jung-jae,Actor / Director,Individual,South Korean
Ma Dong-seok,Actor,Individual,South Korean
Park Bo-gum,Actor,Individual,South Korean
Park Bo-young,Actress,Individual,South Korean
Park Hae-soo,Actor,Individual,South Korean
Shin Min-a,Actress,Individual,South Korean
Song Hye-kyo,Actress,Individual,South Korean
Song Joong-ki,Actor,Individual,South Korean
Son Ye-jin,Actress,Individual,South Korean
BoA,Singer / Dancer,Individual,South Korean
Bang Chan,Singer / Rapper (Stray Kids),Individual,Australian
Daesung,Singer (BIGBANG),Individual,South Korean
Doh Kyung-soo (D.O.),Singer / Actor (EXO),Individual,South Korean
Hoshi,Singer / Dancer (Seventeen),Individual,South Korean
Hyein,Singer (NewJeans),Individual,South Korean
Jay Park,Rapper / Singer / CEO,Individual,South Korean-American
Jennie,Singer / Rapper (BLACKPINK),Individual,South Korean
J-Hope,Rapper / Dancer (BTS),Individual,South Korean
Jimin,Singer / Dancer (BTS),Individual,South Korean
Jin,Singer (BTS),Individual,South Korean
Jo Yu-ri,Singer,Individual,South Korean
Jungkook,Singer / Dancer (BTS),Individual,South Korean
Kim Jae-joong,Singer / Actor,Individual,South Korean
Lee Chan-hyuk,Singer-Songwriter (AKMU),Individual,South Korean
Lee Su-hyun,Singer (AKMU),Individual,South Korean
RM,Rapper / Producer (BTS),Individual,South Korean
Seulgi,Singer / Dancer (Red Velvet),Individual,South Korean
Suga,Rapper / Producer (BTS),Individual,South Korean
Taeyeon,Singer (Girls' Generation),Individual,South Korean
Woozi,Singer-Songwriter (Seventeen),Individual,South Korean
Younha,Singer-Songwriter,Individual,South Korean
Youngjae,Singer (GOT7),Individual,South Korean
Hanni,Singer (NewJeans),Individual,Vietnamese-Australian
&TEAM,Boy Group,Group,Japan/Korea
2NE1,Girl Group,Group,South Korean
Aespa,Girl Group,Group,South Korean
AKMU,Sibling Duo,Group,South Korean
Ateez,Boy Group,Group,South Korean
Babymonster,Girl Group,Group,South Korean
BIGBANG,Boy Group,Group,South Korean
BLACKPINK,Girl Group,Group,South Korean
BTS,Boy Group,Group,South Korean
Day6,Band,Group,South Korean
Enhypen,Boy Group,Group,South Korean
Epik High,Hip-hop Trio,Group,South Korean
EXO,Boy Group,Group,South Korean
Girls' Generation,Girl Group,Group,South Korean
H.O.T,Boy Group (First-gen),Group,South Korean
Ive,Girl Group,Group,South Korean
Le Sserafim,Girl Group,Group,South Korean
Monsta X,Boy Group,Group,South Korean
NCT,Boy Group (multiple units),Group,South Korean
NewJeans,Girl Group,Group,South Korean
Nmixx,Girl Group,Group,South Korean
Red Velvet,Girl Group,Group,South Korean
Seventeen,Boy Group,Group,South Korean
Stray Kids,Boy Group,Group,South Korean
TWICE,Girl Group,Group,South Korean
Bang Si-hyuk,Executive Producer / HYBE Founder,Individual,South Korean
Bong Joon-ho,Film Director / Screenwriter,Individual,South Korean
Hwang Dong-hyuk,Film Director / Screenwriter,Individual,South Korean
Kim Eun-sook,Screenwriter,Individual,South Korean
Lee Soo-man,Producer / SM Founder,Individual,South Korean
Min Hee-jin,Creative Director / ADOR CEO,Individual,South Korean
Park Chan-wook,Film Director,Individual,South Korean
Hong Sang-soo,Film Director,Individual,South Korean
Jeon Yeo-been,Actress,Individual,South Korean
Lee Young-ji,Rapper / TV Personality,Individual,South Korean
Ryu Jun-yeol,Actor,Individual,South Korean
Wi Ha-jun,Actor,Individual,South Korean
